Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1570,Kévin Malcuit,ma,DF,,Fiorentina,Serie A,29,1991,2.3,0,2,0,0.0,0.87,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
1571,Kévin Malcuit,ma,FW,MF,Napoli,Serie A,29,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1572,Daniel Maldini,it,FW,DF,Milan,Serie A,18,2001,0.3,0,1,1,100.0,3.10,3.10,0.00,0.00,17.1,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
1573,Ruslan Malinovskyi,ua,MF,FW,Atalanta,Serie A,27,1993,20.8,8,66,20,30.3,3.17,0.96,0.11,0.35,22.1,12,1,1,5.6,4.9,0.07,+2.4,+2.1,Matches
1574,Yunus Mallı,tr,MF,,Wolfsburg,Bundesliga,28,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1575,Hugo Mallo,es,DF,,Celta Vigo,La Liga,29,1991,28.9,3,20,11,55.0,0.69,0.38,0.15,0.27,14.2,0,0,0,2.6,2.6,0.13,+0.4,+0.4,Matches
1576,Mickael Malsa,mq,MF,,Levante,La Liga,24,1995,26.0,1,24,7,29.2,0.92,0.27,0.04,0.14,23.9,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
1577,Dennis Man,ro,FW,MF,Parma,Serie A,21,1998,7.8,2,19,6,31.6,2.45,0.77,0.11,0.33,15.5,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches
1578,Hianga Mananga Mbock,fr,MF,FW,Brest,Ligue 1,20,1999,5.1,0,4,1,25.0,0.79,0.20,0.00,0.00,25.3,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
1579,Vincent Manceau,fr,DF,,Angers,Ligue 1,31,1989,25.7,0,6,2,33.3,0.23,0.08,0.00,0.00,22.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
1580,Gianluca Mancini,it,DF,,Roma,Serie A,24,1996,31.7,4,28,11,39.3,0.88,0.35,0.14,0.36,13.7,0,0,0,2.7,2.7,0.10,+1.3,+1.3,Matches
1581,Steve Mandanda,fr,GK,,Marseille,Ligue 1,35,1985,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1582,Reinildo Mandava,mz,DF,,Lille,Ligue 1,26,1994,24.2,0,4,0,0.0,0.17,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1583,Aïssa Mandi,dz,DF,,Betis,La Liga,28,1991,26.6,3,8,7,87.5,0.30,0.26,0.38,0.43,6.3,0,0,0,2.1,2.1,0.26,+0.9,+0.9,Matches
1584,Rolando Mandragora,it,MF,,Udinese,Serie A,23,1997,4.4,0,9,4,44.4,2.04,0.90,0.00,0.00,22.9,1,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
1585,Rolando Mandragora,it,MF,,Torino,Serie A,23,1997,16.9,3,27,8,29.6,1.59,0.47,0.11,0.38,21.0,1,0,0,2.8,2.8,0.11,+0.2,+0.2,Matches
1586,Mario Mandžukić,hr,FW,,Milan,Serie A,34,1986,2.4,0,5,3,60.0,2.12,1.27,0.00,0.00,9.4,0,0,0,1.0,1.0,0.20,-1.0,-1.0,Matches
1587,Sadio Mané,sn,FW,,Liverpool,Premier League,28,1992,31.2,11,94,34,36.2,3.01,1.09,0.12,0.32,13.7,0,0,0,14.1,14.1,0.15,-3.1,-3.1,Matches
1588,Niccolò Manfredini,it,GK,,Benevento,Serie A,32,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1589,Eliaquim Mangala,fr,DF,,Valencia,La Liga,29,1991,3.6,0,2,0,0.0,0.56,0.00,0.00,,9.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
1590,Orel Mangala,be,MF,,Stuttgart,Bundesliga,22,1998,23.4,1,26,8,30.8,1.11,0.34,0.04,0.13,21.2,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches
1591,Thomas Mangani,fr,MF,,Angers,Ligue 1,33,1987,29.9,3,21,4,19.0,0.70,0.13,0.00,0.00,25.8,3,3,3,3.3,0.9,0.04,-0.3,-0.9,Matches
1592,Vito Mannone,it,GK,,Monaco,Ligue 1,32,1988,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1593,Kostas Manolas,gr,DF,,Napoli,Serie A,29,1991,25.5,0,8,3,37.5,0.31,0.12,0.00,0.00,12.9,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
1594,Javier Manquillo,es,DF,,Newcastle Utd,Premier League,26,1994,9.2,0,1,0,0.0,0.11,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1595,Juan Manuel Ramos,uy,DF,,Spezia,Serie A,23,1996,3.3,0,1,0,0.0,0.31,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1596,Myziane Maolida,km,FW,MF,Nice,Ligue 1,21,1999,12.0,3,19,4,21.1,1.59,0.33,0.16,0.75,17.2,0,0,0,2.2,2.2,0.12,+0.8,+0.8,Matches
1597,Faitout Maouassa,fr,DF,,Rennes,Ligue 1,22,1998,13.0,0,27,7,25.9,2.08,0.54,0.00,0.00,25.7,5,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
1598,Sekou Mara,fr,FW,MF,Bordeaux,Ligue 1,18,2002,2.5,1,4,4,100.0,1.57,1.57,0.25,0.25,15.4,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
1599,Fernando Marçal,br,DF,MF,Wolves,Premier League,31,1989,6.9,0,2,0,0.0,0.29,0.00,0.00,,26.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1600,Fernando Marçal,br,DF,,Lyon,Ligue 1,31,1989,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1601,Marcelo,br,DF,MF,Real Madrid,La Liga,32,1988,11.7,0,12,0,0.0,1.03,0.00,0.00,,21.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
1602,Marcelo,br,DF,,Lyon,Ligue 1,33,1987,32.3,3,24,7,29.2,0.74,0.22,0.13,0.43,12.3,1,0,0,1.8,1.8,0.07,+1.2,+1.2,Matches
1603,Solly March,eng,DF,MF,Brighton,Premier League,26,1994,18.6,2,22,4,18.2,1.18,0.22,0.09,0.50,17.0,1,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
1604,Federico Marchetti,it,GK,,Genoa,Serie A,37,1983,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1605,Riccardo Marchizza,it,DF,,Spezia,Serie A,22,1998,17.3,0,7,0,0.0,0.40,0.00,0.00,,17.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
1606,Gian Marco Ferrari,it,DF,,Sassuolo,Serie A,28,1992,33.5,0,25,5,20.0,0.75,0.15,0.00,0.00,12.8,0,0,0,2.0,2.0,0.08,-2.0,-2.0,Matches
1607,Iván Marcone,ar,MF,,Elche,La Liga,30,1990,29.4,0,2,0,0.0,0.07,0.00,0.00,,18.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
1608,Óscar de Marcos,es,DF,MF,Athletic Club,La Liga,31,1989,16.9,1,6,5,83.3,0.36,0.30,0.17,0.20,12.4,0,0,0,1.8,1.8,0.31,-0.8,-0.8,Matches
1609,Dario Maresic,at,DF,,Reims,Ligue 1,20,1999,5.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1610,José Mari,es,MF,,Cádiz,La Liga,32,1987,16.1,1,16,3,18.8,0.99,0.19,0.00,0.00,27.9,0,1,1,1.2,0.4,0.03,-0.2,-0.4,Matches
1611,Pablo Marí,es,DF,,Arsenal,Premier League,26,1993,10.0,0,2,0,0.0,0.20,0.00,0.00,,21.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1612,José María Giménez,uy,DF,,Atlético Madrid,La Liga,25,1995,19.6,0,14,5,35.7,0.71,0.25,0.00,0.00,13.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
1613,Mariano,do,FW,,Real Madrid,La Liga,26,1993,5.7,1,15,3,20.0,2.63,0.53,0.07,0.33,16.9,0,0,0,1.7,1.7,0.11,-0.7,-0.7,Matches
1614,Jordan Marié,fr,MF,,Dijon,Ligue 1,28,1991,15.9,0,10,1,10.0,0.63,0.06,0.00,0.00,22.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
1615,Adrián Marín,es,DF,MF,Alavés,La Liga,23,1997,1.0,0,1,0,0.0,0.97,0.00,0.00,,18.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1616,Adrián Marín,es,DF,MF,Granada,La Liga,23,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1617,Răzvan Marin,ro,MF,,Cagliari,Serie A,24,1996,32.9,3,27,10,37.0,0.82,0.30,0.11,0.30,24.6,1,0,0,1.4,1.4,0.05,+1.6,+1.6,Matches
1618,Guillermo Maripán,cl,DF,,Monaco,Ligue 1,26,1994,23.2,5,15,6,40.0,0.65,0.26,0.33,0.83,11.0,0,0,0,2.2,2.2,0.15,+2.8,+2.8,Matches
1619,Marlon,br,DF,,Sassuolo,Serie A,24,1995,19.4,0,4,2,50.0,0.21,0.10,0.00,0.00,10.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
1620,Omar Marmoush,eg,FW,,Wolfsburg,Bundesliga,21,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1621,Marquinhos,br,DF,,Paris S-G,Ligue 1,26,1994,23.6,3,15,8,53.3,0.63,0.34,0.20,0.38,9.3,0,0,0,2.2,2.2,0.15,+0.8,+0.8,Matches
1622,Luca Marrone,it,DF,,Crotone,Serie A,30,1990,17.6,0,4,2,50.0,0.23,0.11,0.00,0.00,7.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
1623,Roger Martí,es,FW,,Levante,La Liga,29,1991,24.4,12,42,19,45.2,1.72,0.78,0.24,0.53,14.8,0,2,4,9.7,6.5,0.16,+2.3,+3.5,Matches
1624,Anthony Martial,fr,FW,,Manchester Utd,Premier League,24,1995,16.4,4,43,20,46.5,2.61,1.22,0.09,0.20,14.0,0,0,0,6.5,6.5,0.15,-2.5,-2.5,Matches
1625,Aarón Martín,es,DF,,Celta Vigo,La Liga,23,1997,17.1,0,5,1,20.0,0.29,0.06,0.00,0.00,22.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
1626,Aarón Martín,es,DF,FW,Mainz 05,Bundesliga,23,1997,2.9,0,1,0,0.0,0.34,0.00,0.00,,20.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1627,Álex Martín,es,DF,,Cádiz,La Liga,22,1998,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1628,Jonas Martin,fr,MF,,Rennes,Ligue 1,30,1990,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1629,Gabriel Martinelli,br,FW,,Arsenal,Premier League,19,2001,6.5,2,20,8,40.0,3.06,1.22,0.10,0.25,14.1,0,0,0,3.3,3.3,0.17,-1.3,-1.3,Matches
1630,Emiliano Martínez,ar,GK,,Aston Villa,Premier League,27,1992,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1631,Iñigo Martínez,es,DF,,Athletic Club,La Liga,29,1991,28.0,1,18,7,38.9,0.64,0.25,0.06,0.14,19.3,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
1632,Javi Martínez,es,MF,FW,Osasuna,La Liga,20,1999,5.1,1,3,1,33.3,0.59,0.20,0.33,1.00,15.8,0,0,0,0.7,0.7,0.22,+0.3,+0.3,Matches
1633,Javi Martínez,es,DF,MF,Bayern Munich,Bundesliga,31,1988,5.2,0,2,0,0.0,0.39,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1634,Josep Martinez,es,GK,,RB Leipzig,Bundesliga,22,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1635,Lautaro Martínez,ar,FW,,Inter,Serie A,22,1997,28.5,17,107,37,34.6,3.76,1.30,0.14,0.41,14.9,0,2,2,15.2,13.6,0.13,+1.8,+1.4,Matches
1636,Pablo Martinez,fr,DF,,Nîmes,Ligue 1,31,1989,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1637,Lucas Martínez Quarta,ar,DF,,Fiorentina,Serie A,24,1996,16.5,1,16,4,25.0,0.97,0.24,0.06,0.25,16.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
1638,Gelson Martins,pt,MF,FW,Monaco,Ligue 1,25,1995,17.2,3,25,10,40.0,1.45,0.58,0.12,0.30,15.4,0,0,0,2.7,2.7,0.11,+0.3,+0.3,Matches
1639,Adam Marušić,me,DF,,Lazio,Serie A,27,1992,33.0,2,27,12,44.4,0.82,0.36,0.07,0.17,15.4,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches
1640,Sylvain Marveaux,fr,MF,FW,Lorient,Ligue 1,34,1986,2.2,0,5,1,20.0,2.25,0.45,0.00,0.00,17.3,0,0,0,0.9,0.9,0.19,-0.9,-0.9,Matches
1641,Marvin,es,DF,MF,Real Madrid,La Liga,20,2000,1.5,0,1,0,0.0,0.68,0.00,0.00,,13.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
1642,Omar Mascarell,gq,MF,,Schalke 04,Bundesliga,27,1993,19.6,1,10,3,30.0,0.51,0.15,0.10,0.33,26.3,1,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
1643,Andrea Masiello,it,DF,,Genoa,Serie A,34,1986,28.5,0,5,0,0.0,0.18,0.00,0.00,,16.4,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
1644,Jordi Masip,es,GK,,Valladolid,La Liga,31,1989,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1645,Roberto Massimo,de,DF,FW,Stuttgart,Bundesliga,19,2000,8.4,0,15,4,26.7,1.78,0.48,0.00,0.00,14.6,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches
1646,Giuseppe Mastinu,it,FW,,Spezia,Serie A,28,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1647,Arthur Masuaku,cd,DF,MF,West Ham,Premier League,26,1993,11.2,0,6,2,33.3,0.54,0.18,0.00,0.00,21.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
1648,Jaime Mata,es,FW,,Getafe,La Liga,31,1988,22.6,5,38,15,39.5,1.68,0.66,0.11,0.27,12.4,0,1,2,7.0,5.5,0.15,-2.0,-1.5,Matches
1649,Juan Mata,es,FW,MF,Manchester Utd,Premier League,32,1988,5.7,1,4,3,75.0,0.71,0.53,0.00,0.00,21.5,0,1,1,1.0,0.2,0.06,0.0,-0.2,Matches
1650,Pape Matar Sarr,sn,MF,,Metz,Ligue 1,17,2002,17.7,3,31,8,25.8,1.75,0.45,0.10,0.38,27.7,1,0,0,1.1,1.1,0.04,+1.9,+1.9,Matches
1651,Eliot Matazo,be,MF,,Monaco,Ligue 1,18,2002,3.5,1,3,2,66.7,0.86,0.57,0.33,0.50,10.2,0,0,0,0.8,0.8,0.26,+0.2,+0.2,Matches
1652,Jean-Philippe Mateta,fr,FW,,Crystal Palace,Premier League,23,1997,2.5,1,4,2,50.0,1.63,0.81,0.25,0.50,10.6,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
1653,Jean-Philippe Mateta,fr,FW,,Mainz 05,Bundesliga,23,1997,11.1,7,28,13,46.4,2.53,1.17,0.21,0.46,12.7,1,1,1,8.6,7.8,0.28,-1.6,-1.8,Matches
1654,Nemanja Matić,rs,MF,,Manchester Utd,Premier League,31,1988,12.3,0,6,3,50.0,0.49,0.24,0.00,0.00,22.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1655,Joël Matip,cm,DF,,Liverpool,Premier League,28,1991,7.7,1,5,2,40.0,0.65,0.26,0.20,0.50,7.3,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches
1656,Rabbi Matondo,wls,FW,MF,Schalke 04,Bundesliga,19,2000,2.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1657,Ryder Matos,br,MF,,Udinese,Serie A,27,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1658,Henning Matriciani,de,DF,,Schalke 04,Bundesliga,20,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1659,Chrislain Matsima,fr,DF,FW,Monaco,Ligue 1,18,2002,3.9,0,4,0,0.0,1.02,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
1660,Federico Mattiello,it,DF,,Spezia,Serie A,25,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1661,Neal Maupay,fr,FW,MF,Brighton,Premier League,23,1996,27.9,8,67,22,32.8,2.40,0.79,0.07,0.23,14.8,0,3,4,13.2,10.1,0.15,-5.2,-5.1,Matches
1662,Tony Mauricio,fr,MF,,Lens,Ligue 1,26,1994,5.6,0,13,2,15.4,2.33,0.36,0.00,0.00,27.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
1663,Stephy Mavididi,eng,FW,MF,Montpellier,Ligue 1,22,1998,22.6,9,30,17,56.7,1.33,0.75,0.30,0.53,13.9,0,0,0,5.6,5.6,0.20,+3.4,+3.4,Matches
1664,Konstantinos Mavropanos,gr,DF,,Stuttgart,Bundesliga,22,1997,16.3,0,15,4,26.7,0.92,0.25,0.00,0.00,13.0,0,0,0,1.6,1.6,0.11,-1.6,-1.6,Matches
1665,Eric Maxim Choupo-Moting,cm,FW,MF,Bayern Munich,Bundesliga,31,1989,9.1,3,20,13,65.0,2.20,1.43,0.15,0.23,11.4,0,0,0,4.7,4.7,0.23,-1.7,-1.7,Matches
1666,Borja Mayoral,es,FW,,Roma,Serie A,23,1997,17.2,10,40,15,37.5,2.32,0.87,0.25,0.67,14.6,0,0,0,6.8,6.8,0.17,+3.2,+3.2,Matches
1667,Borja Mayoral,es,FW,,Real Madrid,La Liga,23,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1668,Youssef Maziz,fr,MF,FW,Metz,Ligue 1,22,1998,2.9,0,6,0,0.0,2.10,0.00,0.00,,22.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
1669,Antonio Mazzotta,it,DF,,Crotone,Serie A,30,1989,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1670,Kevin Mbabu,ch,DF,,Wolfsburg,Bundesliga,25,1995,18.2,0,11,5,45.5,0.60,0.27,0.00,0.00,13.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
1671,Kylian Mbappé,fr,FW,,Paris S-G,Ligue 1,21,1998,26.4,27,98,47,48.0,3.71,1.78,0.21,0.45,15.4,2,6,6,22.1,17.4,0.18,+4.9,+3.6,Matches
1672,Ibrahima Mbaye,sn,DF,,Bologna,Serie A,25,1994,4.8,1,1,1,100.0,0.21,0.21,1.00,1.00,3.1,0,0,0,0.6,0.0,0.00,+0.4,+1.0,Matches
1673,Jean-Manuel Mbom,de,MF,DF,Werder Bremen,Bundesliga,20,2000,12.9,0,7,1,14.3,0.54,0.08,0.00,0.00,17.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1674,Nathanael Mbuku,cd,MF,FW,Reims,Ligue 1,18,2002,24.6,4,39,18,46.2,1.59,0.73,0.10,0.22,18.2,0,0,0,2.6,2.6,0.07,+1.4,+1.4,Matches
1675,James McArthur,sct,MF,,Crystal Palace,Premier League,32,1987,16.3,0,6,0,0.0,0.37,0.00,0.00,,21.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
1676,Oliver McBurnie,sct,FW,,Sheffield Utd,Premier League,24,1996,14.7,1,30,12,40.0,2.04,0.82,0.03,0.08,12.5,0,0,0,3.9,3.9,0.13,-2.9,-2.9,Matches
1677,Alex McCarthy,eng,GK,,Southampton,Premier League,30,1989,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1678,James McCarthy,ie,MF,,Crystal Palace,Premier League,29,1990,9.1,0,1,0,0.0,0.11,0.00,0.00,,32.5,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
1679,John McGinn,sct,MF,,Aston Villa,Premier League,25,1994,37.0,3,45,11,24.4,1.22,0.30,0.07,0.27,23.7,0,0,0,2.5,2.5,0.06,+0.5,+0.5,Matches
1680,David McGoldrick,ie,FW,MF,Sheffield Utd,Premier League,32,1987,26.6,8,71,23,32.4,2.67,0.86,0.11,0.35,18.2,1,0,0,6.9,6.9,0.10,+1.1,+1.1,Matches
1681,Weston McKennie,us,MF,,Juventus,Serie A,21,1998,18.9,5,29,14,48.3,1.53,0.74,0.17,0.36,10.7,0,0,0,4.9,4.9,0.17,+0.1,+0.1,Matches
1682,Dwight McNeil,eng,MF,,Burnley,Premier League,20,1999,34.1,2,26,9,34.6,0.76,0.26,0.08,0.22,22.3,1,0,0,1.1,1.1,0.04,+0.9,+0.9,Matches
1683,Scott McTominay,sct,MF,,Manchester Utd,Premier League,23,1996,23.7,4,26,7,26.9,1.10,0.30,0.15,0.57,17.6,0,0,0,2.1,2.1,0.08,+1.9,+1.9,Matches
1684,Gary Medel,cl,DF,MF,Bologna,Serie A,32,1987,5.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1685,Facundo Medina,ar,DF,,Lens,Ligue 1,21,1999,22.3,2,9,4,44.4,0.40,0.18,0.22,0.50,12.1,0,0,0,1.2,1.2,0.13,+0.8,+0.8,Matches
1686,Nathan de Medina,be,DF,,Arminia,Bundesliga,22,1997,7.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1687,Ben Mee,eng,DF,,Burnley,Premier League,30,1989,29.9,2,22,6,27.3,0.74,0.20,0.09,0.33,10.6,0,0,0,2.3,2.3,0.10,-0.3,-0.3,Matches
1688,Joshua Mees,de,FW,,Union Berlin,Bundesliga,24,1996,0.1,0,2,0,0.0,36.00,0.00,0.00,,12.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
1689,Admir Mehmedi,ch,MF,FW,Wolfsburg,Bundesliga,29,1991,9.1,0,7,3,42.9,0.77,0.33,0.00,0.00,16.3,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
1690,Soualiho Meïté,fr,MF,,Torino,Serie A,26,1994,10.2,1,8,4,50.0,0.78,0.39,0.13,0.25,17.4,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
1691,Soualiho Meïté,fr,MF,,Milan,Serie A,26,1994,6.5,0,7,3,42.9,1.07,0.46,0.00,0.00,24.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
1692,Hannibal Mejbri,tn,MF,,Manchester Utd,Premier League,17,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1693,Farid El Melali,dz,FW,MF,Angers,Ligue 1,23,1997,4.6,1,13,5,38.5,2.83,1.09,0.08,0.20,18.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
1694,Filippo Melegoni,it,MF,DF,Genoa,Serie A,21,1999,4.3,0,4,1,25.0,0.93,0.23,0.00,0.00,23.1,2,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
1695,Gonzalo Melero,es,MF,FW,Levante,La Liga,26,1994,20.6,7,27,9,33.3,1.31,0.44,0.26,0.78,15.5,0,0,0,3.7,3.7,0.14,+3.3,+3.3,Matches
1696,Birger Meling,no,DF,,Nîmes,Ligue 1,25,1994,25.9,2,13,6,46.2,0.50,0.23,0.15,0.33,17.0,0,0,0,0.6,0.6,0.05,+1.4,+1.4,Matches
1697,Arthur Melo,br,MF,,Juventus,Serie A,23,1996,12.9,1,3,1,33.3,0.23,0.08,0.33,1.00,25.0,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches
1698,Memphis,nl,FW,,Lyon,Ligue 1,26,1994,32.5,20,102,44,43.1,3.14,1.35,0.12,0.27,21.1,14,8,8,16.6,10.3,0.10,+3.4,+1.7,Matches
1699,Houboulang Mendes,gw,DF,,Lorient,Ligue 1,22,1998,14.4,0,4,0,0.0,0.28,0.00,0.00,,26.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
1700,Pedro Mendes,pt,DF,,Montpellier,Ligue 1,29,1990,18.1,2,7,2,28.6,0.39,0.11,0.29,1.00,14.5,0,0,0,1.3,1.3,0.19,+0.7,+0.7,Matches
1701,Thiago Mendes,br,MF,,Lyon,Ligue 1,28,1992,24.9,0,23,7,30.4,0.92,0.28,0.00,0.00,22.9,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
1702,Brais Méndez,es,MF,FW,Celta Vigo,La Liga,23,1997,29.7,9,49,21,42.9,1.65,0.71,0.16,0.38,16.1,1,1,1,8.2,7.4,0.15,+0.8,+0.6,Matches
1703,Édgar Méndez,es,MF,FW,Alavés,La Liga,30,1990,23.2,5,35,10,28.6,1.51,0.43,0.14,0.50,16.5,0,0,0,5.5,5.5,0.16,-0.5,-0.5,Matches
1704,Eñaut Mendía,es,FW,,Eibar,La Liga,21,1999,0.7,0,1,0,0.0,1.48,0.00,0.00,,27.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
1705,Batista Mendy,fr,MF,,Nantes,Ligue 1,20,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1706,Benjamin Mendy,fr,DF,,Manchester City,Premier League,26,1994,10.6,2,6,2,33.3,0.57,0.19,0.33,1.00,17.2,0,0,0,0.3,0.3,0.06,+1.7,+1.7,Matches
1707,Edouard Mendy,sn,GK,,Chelsea,Premier League,28,1992,30.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1708,Edouard Mendy,sn,GK,,Rennes,Ligue 1,28,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1709,Ferland Mendy,fr,DF,,Real Madrid,La Liga,25,1995,24.5,1,12,2,16.7,0.49,0.08,0.08,0.50,19.0,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
1710,Nampalys Mendy,sn,MF,,Leicester City,Premier League,28,1992,16.2,0,4,2,50.0,0.25,0.12,0.00,0.00,28.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
1711,Hamza Mendyl,ma,FW,DF,Schalke 04,Bundesliga,22,1997,1.1,0,2,0,0.0,1.89,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
