Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
331,Dennis Borkowski,de,MF,FW,RB Leipzig,Bundesliga,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
332,Sebastiaan Bornauw,be,DF,,Köln,Bundesliga,21,1999,23.1,1,18,5,27.8,0.78,0.22,0.06,0.20,10.5,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
333,Sven Botman,nl,DF,,Lille,Ligue 1,20,2000,36.8,0,16,5,31.3,0.44,0.14,0.00,0.00,14.9,1,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
334,Denis Bouanga,ga,MF,FW,Saint-Étienne,Ligue 1,25,1994,30.2,7,97,35,36.1,3.21,1.16,0.04,0.11,18.7,4,3,4,12.8,9.6,0.10,-5.8,-5.6,Matches
335,Hicham Boudaoui,dz,MF,,Nice,Ligue 1,20,1999,19.3,3,16,9,56.3,0.83,0.47,0.19,0.33,19.4,0,0,0,2.2,2.2,0.13,+0.8,+0.8,Matches
336,Ryad Boudebouz,dz,MF,FW,Saint-Étienne,Ligue 1,30,1990,7.2,0,11,3,27.3,1.52,0.41,0.00,0.00,24.9,2,0,2,2.1,0.5,0.05,-2.1,-0.5,Matches
337,Sofiane Boufal,ma,FW,MF,Angers,Ligue 1,26,1993,8.1,1,13,5,38.5,1.60,0.61,0.08,0.20,16.4,2,0,0,1.7,1.7,0.13,-0.7,-0.7,Matches
338,Nassim Boujellab,ma,MF,FW,Schalke 04,Bundesliga,21,1999,6.7,1,14,5,35.7,2.08,0.74,0.07,0.20,17.5,0,0,0,1.6,1.6,0.11,-0.6,-0.6,Matches
339,Farid Boulaya,dz,MF,FW,Metz,Ligue 1,27,1993,31.3,6,78,26,33.3,2.49,0.83,0.06,0.19,26.4,26,1,2,5.2,3.7,0.05,+0.8,+1.3,Matches
340,Yassine Bounou,ma,GK,,Sevilla,La Liga,29,1991,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,9.2,0,0,0,0.2,0.2,0.18,+0.8,+0.8,Matches
341,Ismaël Boura,km,DF,,Lens,Ligue 1,19,2000,9.2,0,2,0,0.0,0.22,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
342,Mehdi Bourabia,ma,MF,,Sassuolo,Serie A,28,1991,5.9,1,9,3,33.3,1.53,0.51,0.11,0.33,22.7,3,0,0,0.5,0.5,0.06,+0.5,+0.5,Matches
343,Benjamin Bourigeaud,fr,MF,FW,Rennes,Ligue 1,26,1994,28.4,6,64,24,37.5,2.26,0.85,0.09,0.25,22.2,11,0,0,4.3,4.3,0.07,+1.7,+1.7,Matches
344,Edoardo Bove,it,MF,,Roma,Serie A,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
345,Jarrod Bowen,eng,FW,MF,West Ham,Premier League,23,1996,28.5,8,55,16,29.1,1.93,0.56,0.15,0.50,16.4,0,0,0,7.1,7.1,0.13,+0.9,+0.9,Matches
346,Dedryck Boyata,be,DF,,Hertha BSC,Bundesliga,29,1990,17.2,1,10,1,10.0,0.58,0.06,0.10,1.00,11.8,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
347,John Boye,gh,DF,,Metz,Ligue 1,33,1987,33.8,1,13,2,15.4,0.38,0.06,0.08,0.50,9.0,0,0,0,2.3,2.3,0.18,-1.3,-1.3,Matches
348,Lucas Boyé,ar,FW,,Elche,La Liga,24,1996,29.9,7,58,22,37.9,1.94,0.73,0.12,0.32,16.6,3,0,0,5.2,5.2,0.09,+1.8,+1.8,Matches
349,Can Bozdogan,de,MF,FW,Schalke 04,Bundesliga,19,2001,7.2,0,8,2,25.0,1.11,0.28,0.00,0.00,23.5,1,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
350,Umut Bozok,tr,MF,FW,Lorient,Ligue 1,23,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
