Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
61,Omar Alderete,py,DF,Hertha BSC,Bundesliga,23,1996,14.4,1058,107,586,459,21,10,1058,18,15,83.3,3,16.7,653,3162,1834,8,6,0,6,3,718,3
62,Toby Alderweireld,be,DF,Tottenham,Premier League,31,1989,24.9,1687,267,932,726,35,14,1687,4,4,100.0,0,0.0,987,4485,2370,3,5,0,2,2,1114,1
63,Iván Alejo,es,MF,Cádiz,La Liga,25,1995,9.2,348,14,64,106,185,20,348,25,13,52.0,12,48.0,202,2031,1030,46,25,5,27,14,219,79
64,Carles Aleñá,es,MF,Barcelona,La Liga,22,1998,0.5,46,1,12,24,10,1,46,0,0,,0,,24,109,65,1,0,0,2,1,42,1
65,Carles Aleñá,es,MF,Getafe,La Liga,22,1998,15.2,719,8,62,361,315,16,719,36,23,63.9,13,36.1,434,2413,1054,20,31,1,28,18,491,51
66,Rúnar Alex Rúnarsson,is,GK,Arsenal,Premier League,25,1995,0.2,13,10,12,1,0,0,13,0,0,,0,,5,26,12,0,0,0,0,0,6,0
67,Trent Alexander-Arnold,eng,DF,Liverpool,Premier League,21,1998,33.7,3318,73,699,1494,1151,81,3318,61,32,52.5,29,47.5,1992,9462,5442,98,95,24,31,22,2202,249
68,Alfon,es,MF,Celta Vigo,La Liga,21,1999,0.4,21,0,0,6,15,2,21,2,1,50.0,1,50.0,20,81,39,0,1,0,3,0,20,5
69,Mohamed Ali Cho,fr,FW,Angers,Ligue 1,16,2004,3.9,173,0,13,66,98,16,173,11,5,45.5,6,54.5,114,750,382,15,10,2,16,12,121,26
70,Ezgjan Alioski,mk,DF,Leeds United,Premier League,28,1992,27.3,1951,75,560,902,503,41,1951,26,11,42.3,15,57.7,1007,5508,3290,77,43,5,37,15,1197,122
71,Rachid Alioui,ma,FW,Angers,Ligue 1,28,1992,0.2,11,0,3,3,5,2,11,0,0,,0,,6,5,0,0,0,0,1,1,9,1
72,Alisson,br,GK,Liverpool,Premier League,27,1992,33.0,1239,931,1224,16,1,1,1239,2,2,100.0,0,0.0,709,2807,1763,0,0,0,0,0,669,0
73,Saturnin Allagbé,bj,GK,Dijon,Ligue 1,26,1993,12.0,443,395,443,0,0,0,443,1,1,100.0,0,0.0,228,866,497,0,0,0,1,0,170,0
74,Allan,br,MF,Everton,Premier League,29,1991,22.8,1310,68,382,816,136,3,1310,49,31,63.3,18,36.7,721,4220,2314,30,31,2,21,18,831,8
75,Dele Alli,eng,MF,Tottenham,Premier League,24,1996,6.9,444,7,64,241,146,23,444,25,11,44.0,14,56.0,276,1588,641,15,18,5,13,16,303,30
76,Miguel Almirón,py,MF,Newcastle Utd,Premier League,26,1994,27.0,1179,33,230,557,421,40,1179,73,39,53.4,34,46.6,773,5516,2516,70,48,14,48,34,792,109
77,Marcos Alonso,es,DF,Chelsea,Premier League,29,1990,10.7,729,32,199,300,238,38,729,17,9,52.9,8,47.1,362,1815,1095,24,18,4,13,9,450,74
78,Sergio Álvarez,es,MF,Eibar,La Liga,28,1992,17.4,869,35,187,544,143,19,869,10,8,80.0,2,20.0,392,1754,624,9,11,1,21,12,459,15
79,Yeray Álvarez,es,DF,Athletic Club,La Liga,25,1995,21.6,1294,119,607,649,48,15,1294,12,11,91.7,1,8.3,681,4512,2621,19,11,0,8,2,769,2
80,Bruno Alves,pt,DF,Parma,it Serie A,38,1981,18.1,1096,173,611,446,41,17,1096,2,1,50.0,1,50.0,636,2915,1445,0,4,1,1,1,721,6
81,Steven Alzate,co,MF,Brighton,Premier League,21,1998,10.0,536,17,105,308,128,12,536,16,8,50.0,8,50.0,323,1638,807,16,8,1,13,9,393,16
82,Ibrahim Amadou,fr,MF,Angers,Ligue 1,27,1993,16.7,837,34,208,549,87,12,837,15,10,66.7,5,33.3,477,1929,898,14,9,3,14,17,534,14
83,Romain Amalfitano,fr,FW,Dijon,Ligue 1,30,1989,1.3,68,3,12,36,21,0,68,1,0,0.0,1,100.0,51,284,159,3,2,0,1,2,48,8
84,Emmanuel Amankwaa Akurugu,gh,DF,Getafe,La Liga,18,2001,0.5,18,0,4,11,3,0,18,0,0,,0,,12,113,64,2,0,0,1,0,10,1
85,Daniel Amartey,gh,DF,Leicester City,Premier League,25,1994,8.0,572,61,286,256,33,6,572,3,1,33.3,2,66.7,301,1291,682,4,4,0,5,3,344,0
86,Jordan Amavi,fr,DF,Marseille,Ligue 1,26,1994,9.0,569,36,205,260,112,8,569,20,12,60.0,8,40.0,275,1532,676,17,19,2,13,9,300,33
87,Thierry Ambrose,gp,FW,Metz,Ligue 1,23,1997,8.4,336,5,13,164,164,35,336,31,18,58.1,13,41.9,223,1444,580,26,17,9,33,26,277,77
88,Wisdom Amey,it,DF,Bologna,it Serie A,14,2005,0.0,7,0,0,5,2,0,7,0,0,,0,,2,19,15,0,0,0,0,0,2,0
89,Nadiem Amiri,de,MF,Leverkusen,Bundesliga,23,1996,21.0,1351,19,158,764,443,30,1351,39,21,53.8,18,46.2,777,4342,2040,45,34,8,50,23,1011,82
90,Ethan Ampadu,wls,DF,Sheffield Utd,Premier League,19,2000,23.2,1374,138,516,670,202,6,1374,15,13,86.7,2,13.3,678,4063,2384,25,28,0,16,5,765,23
91,Sofyan Amrabat,ma,MF,Fiorentina,it Serie A,23,1996,27.1,1603,33,270,1091,266,12,1603,71,47,66.2,24,33.8,1051,6212,2510,38,33,3,33,48,1143,46
92,Jon Ander Garrido,es,MF,Cádiz,La Liga,30,1989,8.9,317,24,101,179,38,7,317,3,2,66.7,1,33.3,112,364,129,0,2,0,8,5,134,3
93,Joachim Andersen,dk,DF,Fulham,Premier League,24,1996,30.3,2275,309,1259,944,90,25,2275,11,9,81.8,2,18.2,1304,7345,4043,20,13,1,10,3,1456,7
94,Joachim Andersen,dk,DF,Lyon,Ligue 1,24,1996,2.1,138,14,78,51,9,2,138,2,1,50.0,1,50.0,86,445,259,4,1,0,2,2,93,0
95,Djavan Anderson,nl,DF,Lazio,it Serie A,25,1995,0.8,37,1,7,15,15,0,37,2,0,0.0,2,100.0,20,116,37,2,0,0,1,1,20,4
96,Elliot Anderson,eng,MF,Newcastle Utd,Premier League,17,2002,0.0,2,0,0,1,1,1,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1
97,Felipe Anderson,br,FW,West Ham,Premier League,27,1993,0.0,7,0,0,4,3,1,7,0,0,,0,,6,78,51,2,1,0,0,0,6,0
98,Sebastian Andersson,se,FW,Köln,Bundesliga,29,1991,12.5,377,13,27,199,155,53,376,6,4,66.7,2,33.3,154,631,267,6,7,5,44,9,271,55
99,Nícolas Andrade,br,GK,Udinese,it Serie A,32,1988,2.0,40,36,40,0,0,0,40,0,0,,0,,23,93,50,0,0,0,0,0,19,0
100,Benjamin André,fr,MF,Lille,Ligue 1,29,1990,32.1,2442,78,462,1614,392,39,2442,44,29,65.9,15,34.1,1374,5783,2712,28,43,3,40,40,1629,64
101,Marcos André,br,FW,Valladolid,La Liga,23,1996,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67
102,Robert Andrich,de,MF,Union Berlin,Bundesliga,25,1994,28.1,1737,62,441,1041,273,21,1737,26,19,73.1,7,26.9,857,4119,1616,25,28,3,35,12,1079,31
103,Victorien Angban,ci,MF,Metz,Ligue 1,23,1996,18.6,1026,20,193,662,179,10,1026,31,21,67.7,10,32.3,648,3001,1393,20,18,1,23,30,713,30
104,Ángel,es,GK,Granada,La Liga,18,2002,1.0,41,37,41,0,0,0,41,0,0,,0,,9,27,15,0,0,0,0,0,7,0
105,José Ángel,es,DF,Eibar,La Liga,30,1989,10.0,775,24,172,401,212,3,775,8,8,100.0,0,0.0,396,1953,982,14,19,1,11,5,416,24
106,Miguel Ángel Rubio,es,DF,Valladolid,La Liga,22,1998,1.5,74,12,50,23,1,1,74,0,0,,0,,27,107,22,0,0,0,0,0,29,0
107,Angeliño,es,DF,RB Leipzig,Bundesliga,23,1997,24.0,1723,35,339,743,649,79,1723,32,16,50.0,16,50.0,848,4039,2112,47,36,14,26,13,1072,242
108,Davide Angelo Ghislandi,it,DF,Atalanta,it Serie A,19,2001,0.1,4,1,1,1,2,0,4,0,0,,0,,3,4,2,0,0,0,0,0,3,1
109,Philip Ankhrah,gh,MF,Hellas Verona,it Serie A,17,2002,0.1,2,0,0,1,1,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0
110,Cristian Ansaldi,ar,DF,Torino,it Serie A,33,1986,21.6,1205,60,305,481,435,31,1204,54,28,51.9,26,48.1,645,4747,2501,91,58,8,26,17,658,93
111,Waldemar Anton,de,DF,Stuttgart,Bundesliga,24,1996,30.1,2415,359,1273,1068,84,28,2415,17,13,76.5,4,23.5,1480,8920,4907,24,16,5,24,25,1663,12
112,Michail Antonio,jm,FW,West Ham,Premier League,30,1990,21.9,783,11,34,299,460,120,783,87,43,49.4,44,50.6,473,2817,1365,59,31,25,78,49,638,177
113,José Antonio Miranda,gq,MF,Getafe,La Liga,22,1998,0.3,20,0,0,7,13,2,20,0,0,,0,,14,106,46,2,1,0,1,2,17,3
114,Valentin Antov,bg,DF,Bologna,it Serie A,19,2000,2.6,154,30,101,51,2,0,154,1,1,100.0,0,0.0,71,353,200,1,1,0,2,0,93,0
115,Houssem Aouar,dz,MF,Lyon,Ligue 1,22,1998,19.8,1248,8,78,654,535,119,1246,81,46,56.8,35,43.2,841,4633,2482,74,54,33,54,35,1021,172
116,Adil Aouchiche,fr,MF,Saint-Étienne,Ligue 1,18,2002,19.2,1046,11,126,530,406,48,1046,61,34,55.7,27,44.3,620,3832,1947,56,29,14,61,27,701,92
117,Dennis Appiah,fr,DF,Nantes,Ligue 1,28,1992,17.3,1057,50,345,462,256,12,1057,20,12,60.0,8,40.0,467,2251,1189,33,29,3,18,17,512,81
118,Aritz Arambarri,es,DF,Real Sociedad,La Liga,22,1998,0.3,23,0,4,16,3,1,23,1,0,0.0,1,100.0,10,30,11,0,0,0,1,0,12,0
119,Mauro Arambarri,uy,MF,Getafe,La Liga,24,1995,33.1,1443,39,223,814,436,31,1443,56,36,64.3,20,35.7,716,4368,1745,38,44,9,39,31,721,50
120,Charles Aránguiz,cl,MF,Leverkusen,Bundesliga,31,1989,18.5,1357,49,312,887,162,12,1357,15,9,60.0,6,40.0,707,2687,1191,11,14,2,20,9,917,18
121,Luiz Araújo,br,MF,Lille,Ligue 1,24,1996,16.6,854,11,80,387,410,46,854,84,49,58.3,35,41.7,523,3692,1694,50,47,13,37,27,601,135
122,Néstor Araujo,mx,DF,Celta Vigo,La Liga,28,1991,27.0,1804,215,965,804,46,10,1804,5,5,100.0,0,0.0,1105,6431,3838,26,15,0,15,0,1236,1
123,Ronald Araújo,uy,DF,Barcelona,La Liga,21,1999,16.8,1213,151,536,640,42,12,1213,8,8,100.0,0,0.0,815,3850,2161,9,7,1,6,2,879,2
124,Anaitz Arbilla,es,DF,Eibar,La Liga,33,1987,31.2,2222,119,720,1256,284,13,2222,30,25,83.3,5,16.7,1109,6550,3244,37,26,3,22,9,1156,19
125,Alphonse Areola,fr,GK,Fulham,Premier League,27,1993,36.0,1101,972,1096,5,0,0,1101,0,0,,0,,574,2982,1600,0,0,0,1,0,414,0
126,Santiago Arias,co,DF,Leverkusen,Bundesliga,28,1992,1.0,68,3,21,34,14,2,68,0,0,,0,,22,126,63,2,1,0,1,0,38,4
127,Karim Aribi,dz,FW,Nîmes,Ligue 1,26,1994,3.3,110,3,13,54,47,12,110,8,3,37.5,5,62.5,45,272,114,4,3,2,13,3,72,19
128,Unai Arietaleanizbeaskoa,es,FW,Eibar,La Liga,21,1999,0.5,14,0,0,6,8,0,14,0,0,,0,,9,27,11,0,0,0,3,0,11,6
129,Nicolò Armini,it,DF,Lazio,it Serie A,19,2001,0.1,5,0,1,3,1,0,5,0,0,,0,,3,27,0,0,0,0,0,0,3,0
130,Stuart Armstrong,sct,MF,Southampton,Premier League,28,1992,30.7,1669,38,234,946,512,53,1669,106,68,64.2,38,35.8,985,7033,3521,109,75,10,77,68,1132,118
131,Maximilian Arnold,de,MF,Wolfsburg,Bundesliga,26,1994,28.7,1964,85,368,1188,432,11,1964,19,17,89.5,2,10.5,939,4472,2243,30,37,2,29,22,1097,33
132,Tolu Arokodare,ng,FW,Köln,Bundesliga,19,2000,1.2,54,0,2,24,29,11,54,0,0,,0,,28,102,19,1,1,1,6,2,43,11
133,Sergio Arribas,es,MF,Real Madrid,La Liga,18,2001,1.5,104,2,23,48,36,2,104,6,6,100.0,0,0.0,68,399,210,8,3,2,3,3,78,13
134,Kepa Arrizabalaga,es,GK,Chelsea,Premier League,25,1994,6.5,258,233,255,3,0,0,258,0,0,,0,,145,605,379,0,0,0,2,0,149,0
135,Tolgay Arslan,de,MF,Udinese,it Serie A,29,1990,20.2,1095,23,227,652,234,19,1095,48,34,70.8,14,29.2,665,3971,2354,48,45,6,22,22,734,37
136,Kwadwo Asamoah,gh,DF,Cagliari,it Serie A,31,1988,2.5,136,8,34,70,35,1,136,3,2,66.7,1,33.3,72,325,211,4,5,0,1,1,77,11
137,Santiago Ascacíbar,ar,MF,Hertha BSC,Bundesliga,23,1997,8.5,484,22,149,274,65,10,484,6,2,33.3,4,66.7,216,904,421,7,4,1,19,3,250,8
138,Sergio Asenjo,es,GK,Villarreal,La Liga,31,1989,36.0,1378,1165,1376,2,0,0,1378,0,0,,0,,743,3466,2213,0,0,0,1,0,658,0
139,Marco Asensio,es,FW,Real Madrid,La Liga,24,1996,20.8,1179,17,126,444,617,71,1179,39,29,74.4,10,25.6,761,5310,2520,92,62,16,32,23,935,166
140,Kristoffer Askildsen,no,MF,Sampdoria,it Serie A,19,2001,1.1,31,2,13,13,5,1,31,1,1,100.0,0,0.0,15,37,7,1,1,0,3,3,16,2
141,Iago Aspas,es,FW,Celta Vigo,La Liga,32,1987,31.8,1559,29,146,699,731,147,1554,85,60,70.6,25,29.4,973,5564,2651,93,48,47,56,27,1231,269
142,Roger Assalé,ci,FW,Dijon,Ligue 1,26,1993,9.2,274,2,31,125,121,27,274,23,10,43.5,13,56.5,203,1247,556,22,14,9,30,19,220,58
143,Youcef Atal,dz,DF,Nice,Ligue 1,24,1996,10.6,790,26,192,367,243,22,790,36,20,55.6,16,44.4,481,2862,1567,43,29,11,39,13,515,95
144,Miguel Atienza,es,MF,Eibar,La Liga,21,1999,9.3,424,15,64,262,99,7,424,3,1,33.3,2,66.7,211,938,373,5,5,0,5,5,235,10
145,Pierre-Emerick Aubameyang,ga,FW,Arsenal,Premier League,31,1989,25.9,887,19,113,345,437,119,885,25,12,48.0,13,52.0,525,3124,1692,65,29,28,39,19,703,195
146,Emil Audero,it,GK,Sampdoria,it Serie A,23,1997,37.0,1341,1180,1336,5,1,1,1341,0,0,,0,,709,3742,2187,0,0,0,0,0,572,0
147,Tommaso Augello,it,DF,Sampdoria,it Serie A,25,1994,35.7,2330,109,708,1016,632,31,2330,54,31,57.4,23,42.6,1215,6866,3913,105,72,7,43,16,1409,159
148,Jean-Kévin Augustin,fr,FW,Nantes,Ligue 1,23,1997,0.4,7,0,1,5,1,0,7,0,0,,0,,4,5,0,0,0,0,1,0,5,1
149,Ludwig Augustinsson,se,DF,Werder Bremen,Bundesliga,26,1994,21.7,1375,79,409,540,436,29,1375,10,6,60.0,4,40.0,571,2745,1609,38,27,6,17,5,679,108
150,Serge Aurier,ci,DF,Tottenham,Premier League,27,1992,17.8,1221,78,416,555,264,25,1221,32,17,53.1,15,46.9,558,2181,1129,28,16,5,29,13,678,82
151,Charlie Austin,eng,FW,West Brom,Premier League,31,1989,1.5,55,4,8,22,26,4,55,2,1,50.0,1,50.0,22,101,51,1,2,1,4,2,36,4
152,Ezequiel Ávila,ar,FW,Osasuna,La Liga,26,1994,2.2,76,0,9,35,32,5,76,2,0,0.0,2,100.0,37,179,79,1,1,0,1,7,59,9
153,Taiwo Awoniyi,ng,FW,Union Berlin,Bundesliga,22,1997,15.1,485,3,26,268,203,66,485,29,13,44.8,16,55.2,294,1358,495,19,23,10,75,29,389,108
154,Mehmet Aydin,de,DF,Schalke 04,Bundesliga,18,2002,5.6,278,16,112,125,42,4,278,6,2,33.3,4,66.7,105,455,217,6,2,0,12,4,122,10
155,Jordan Ayew,gh,FW,Crystal Palace,Premier League,28,1991,23.3,973,17,137,476,381,57,973,89,52,58.4,37,41.6,585,3988,1762,58,32,14,82,60,711,109
156,Kaan Ayhan,tr,DF,Sassuolo,it Serie A,25,1994,8.8,651,68,219,358,77,4,651,4,3,75.0,1,25.0,394,1642,1030,19,9,1,1,3,466,13
