Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
11,Matthis Abline,fr,FW,,Nantes,Ligue 1,21,2003,8,8,632,7.0,2,0,2,2,0,0,1,0,1.5,1.5,0.7,2.1,18,18,47,0.28,0.00,0.28,0.28,0.28,0.21,0.09,0.30,0.21,0.30
12,Abner,br,DF,,Lyon,Ligue 1,24,2000,8,7,555,6.2,1,0,1,1,0,0,1,0,0.2,0.2,0.4,0.6,16,25,34,0.16,0.00,0.16,0.16,0.16,0.03,0.06,0.09,0.03,0.09
13,Zakaria Aboukhlal,ma,MF,FW,Toulouse,Ligue 1,24,2000,8,7,566,6.3,1,0,1,1,0,1,1,0,4.1,3.3,0.1,3.4,9,8,47,0.16,0.00,0.16,0.16,0.16,0.65,0.02,0.67,0.53,0.54
14,Abdel Abqar,ma,DF,,Alavés,La Liga,25,1999,10,10,768,8.5,0,1,1,0,0,0,5,0,0.3,0.3,0.1,0.5,9,27,3,0.00,0.12,0.12,0.00,0.12,0.04,0.02,0.05,0.04,0.05
15,Tammy Abraham,eng,FW,,Roma,Serie A,27,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Tammy Abraham,eng,FW,,Milan,Serie A,27,1997,6,4,352,3.9,1,1,2,0,1,2,0,0,3.4,1.7,0.4,2.1,1,3,23,0.26,0.26,0.51,0.00,0.26,0.87,0.10,0.97,0.44,0.54
17,Federico Accornero,it,MF,,Genoa,Serie A,20,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Francesco Acerbi,it,DF,,Inter,Serie A,36,1988,7,7,566,6.3,0,1,1,0,0,0,0,0,0.2,0.2,0.2,0.3,5,25,4,0.00,0.16,0.16,0.00,0.16,0.02,0.03,0.05,0.02,0.05
19,Akor Adams,ng,FW,,Montpellier,Ligue 1,24,2000,8,7,641,7.1,3,1,4,3,0,0,2,0,3.9,3.9,0.7,4.6,5,4,25,0.42,0.14,0.56,0.42,0.56,0.54,0.10,0.64,0.54,0.64
20,Che Adams,sct,FW,MF,Torino,Serie A,28,1996,8,5,476,5.3,3,1,4,3,0,0,0,0,2.1,2.1,0.9,3.0,4,4,27,0.57,0.19,0.76,0.57,0.76,0.41,0.17,0.57,0.41,0.57
21,Junior Adamu,at,FW,,Freiburg,Bundesliga,23,2001,7,7,563,6.3,2,1,3,2,0,0,2,0,2.4,2.4,1.4,3.8,4,4,27,0.32,0.16,0.48,0.32,0.48,0.38,0.22,0.60,0.38,0.60
22,Tosin Adarabioyo,eng,DF,,Chelsea,Premier League,27,1997,4,2,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
23,Martin Adeline,fr,MF,,Reims,Ligue 1,20,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,Karim Adeyemi,de,FW,MF,Dortmund,Bundesliga,22,2002,5,4,305,3.4,2,3,5,2,0,0,0,0,0.7,0.7,1.7,2.4,12,3,29,0.59,0.89,1.48,0.59,1.48,0.22,0.49,0.71,0.22,0.71
25,Simon Adingra,ci,FW,MF,Brighton,Premier League,22,2002,5,1,137,1.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.8,5,2,35,0.66,0.66,1.31,0.66,1.31,0.22,0.31,0.53,0.22,0.53
26,Amine Adli,ma,MF,,Leverkusen,Bundesliga,24,2000,7,2,205,2.3,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,9,37,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.21,0.18,0.21
27,Yacine Adli,fr,MF,,Fiorentina,Serie A,24,2000,6,2,199,2.2,1,1,2,1,0,0,1,0,0.0,0.0,0.3,0.3,7,15,2,0.45,0.45,0.90,0.45,0.90,0.01,0.14,0.15,0.01,0.15
28,Adryelson,br,DF,,Lyon,Ligue 1,26,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Vasilije Adžić,me,MF,,Juventus,Serie A,18,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
30,Michel Aebischer,ch,MF,,Bologna,Serie A,27,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
31,Oladapo Afolayan,eng,FW,MF,St. Pauli,Bundesliga,26,1998,7,4,427,4.7,1,0,1,1,0,0,0,0,1.3,1.3,0.4,1.7,9,8,25,0.21,0.00,0.21,0.21,0.21,0.27,0.09,0.35,0.27,0.35
32,Emmanuel Agbadou,ci,DF,,Reims,Ligue 1,27,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,49,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
33,Asher Agbinone,eng,MF,,Crystal Palace,Premier League,19,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.58,1.00,1.58,0.58,1.58
34,Julen Agirrezabala,es,GK,,Athletic Club,La Liga,23,2000,7,7,576,6.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Lucien Agoume,fr,MF,,Sevilla,La Liga,22,2002,10,7,605,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,8,29,11,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
36,Felix Agu,de,DF,,Werder Bremen,Bundesliga,25,1999,7,7,583,6.5,2,0,2,2,0,0,0,0,0.7,0.7,0.4,1.1,14,10,46,0.31,0.00,0.31,0.31,0.31,0.10,0.07,0.17,0.10,0.17
37,Álvaro Aguado,es,MF,,Espanyol,La Liga,28,1996,7,2,228,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,19,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
38,Nayef Aguerd,ma,DF,,Real Sociedad,La Liga,28,1996,6,6,514,5.7,0,0,0,0,0,0,1,0,1.1,1.1,0.0,1.2,8,21,0,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.20,0.20,0.20
39,Ruben Aguilar,fr,DF,,Lens,Ligue 1,31,1993,5,3,270,3.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,14,28,0.00,0.33,0.33,0.00,0.33,0.05,0.23,0.28,0.05,0.28
40,Honest Ahanor,it,DF,,Genoa,Serie A,16,2008,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Jean-Eudes Aholou,ci,MF,,Angers,Ligue 1,30,1994,7,7,538,6.0,0,0,0,0,0,0,2,0,0.7,0.7,0.2,0.9,8,26,6,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.15,0.11,0.15
42,Joseph Aidoo,gh,DF,,Celta Vigo,La Liga,29,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Ayman Aiki,fr,FW,MF,Saint-Étienne,Ligue 1,19,2005,3,1,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
44,Ola Aina,ng,DF,,Nott'ham Forest,Premier League,28,1996,8,8,683,7.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,21,34,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
45,Rayan Aït-Nouri,dz,DF,,Wolves,Premier League,23,2001,8,8,653,7.3,2,2,4,2,0,0,3,0,1.0,1.0,1.0,2.0,15,25,26,0.28,0.28,0.55,0.28,0.55,0.13,0.14,0.27,0.13,0.27
46,Kristoffer Ajer,no,DF,,Brentford,Premier League,26,1998,8,8,636,7.1,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,14,25,12,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
47,Ludovic Ajorque,fr,FW,,Brest,Ligue 1,30,1994,8,7,581,6.5,2,0,2,2,0,0,2,0,1.2,1.2,0.6,1.8,1,7,31,0.31,0.00,0.31,0.31,0.31,0.19,0.09,0.28,0.19,0.28
48,Manuel Akanji,ch,DF,,Manchester City,Premier League,29,1995,7,7,601,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,14,63,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04
49,Ümit Akdag,ro,DF,,Toulouse,Ligue 1,21,2003,2,2,140,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,17,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Nathan Aké,nl,DF,,Manchester City,Premier League,29,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Ilias Akhomach,ma,MF,FW,Villarreal,La Liga,20,2004,9,5,458,5.1,0,0,0,0,0,0,1,0,0.4,0.4,0.8,1.2,24,7,49,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.23,0.07,0.23
52,Sergio Akieme,es,DF,,Reims,Ligue 1,26,1997,5,5,450,5.0,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,11,10,17,0.20,0.00,0.20,0.20,0.20,0.04,0.01,0.05,0.04,0.05
