Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
26,David Button,eng,GK,,West Brom,Premier League,31,1989,1.0,2,0,0,1,0,0.8,0.14,-1.2,-1.18,8,27,29.6,25,1,60.0,41.8,12,100.0,64.4,25,0,0.0,0,0.00,7.0
27,Marcin Bułka,pl,GK,,Paris S-G,Ligue 1,20,1999,1.0,1,0,0,0,0,1.5,0.50,+0.5,+0.49,2,4,50.0,28,9,10.7,21.3,2,50.0,36.0,12,0,0.0,2,2.00,18.6
28,Willy Caballero,ar,GK,,Chelsea,Premier League,38,1981,1.0,3,0,0,1,0,1.5,0.50,-1.5,-1.49,1,3,33.3,20,2,15.0,21.6,6,0.0,19.2,9,0,0.0,3,3.00,28.0
29,Marc-Aurèle Caillard,fr,GK,,Metz,Ligue 1,26,1994,4.0,10,3,1,0,0,8.5,0.24,-1.5,-0.38,13,40,32.5,71,26,25.4,30.0,30,73.3,55.5,55,2,3.6,2,0.50,13.4
30,Cárdenas,es,GK,,Levante,La Liga,23,1997,8.0,11,0,0,0,0,11.2,0.29,+0.2,+0.03,33,89,37.1,203,41,33.0,32.2,59,37.3,34.2,125,2,1.6,16,2.00,18.2
31,Scott Carson,eng,GK,,Manchester City,Premier League,34,1985,1.0,3,1,0,1,0,2.4,0.09,-0.6,-0.56,0,1,0.0,14,6,0.0,18.9,2,50.0,29.5,10,0,0.0,0,0.00,16.5
32,Kiko Casilla,es,GK,,Leeds United,Premier League,33,1986,3.0,2,0,0,0,0,3.2,0.32,+1.2,+0.41,5,14,35.7,67,20,10.4,23.2,31,22.6,24.7,30,4,13.3,1,0.33,10.8
33,Koen Casteels,be,GK,,Wolfsburg,Bundesliga,28,1992,32.0,33,3,1,2,1,32.7,0.26,+0.7,+0.02,191,462,41.3,1048,166,31.9,32.6,203,63.1,48.4,450,25,5.6,57,1.78,17.3
34,Sébastien Cibois,fr,GK,,Brest,Ligue 1,22,1998,3.0,4,1,0,0,0,3.9,0.26,-0.1,-0.04,14,36,38.9,69,12,39.1,35.8,22,40.9,37.5,51,1,2.0,3,1.00,17.4
35,Alberto Cifuentes,es,GK,,Cádiz,La Liga,41,1979,2.0,3,0,0,0,0,2.9,0.48,-0.1,-0.05,22,60,36.7,53,3,84.9,54.1,15,100.0,62.9,32,0,0.0,4,2.00,27.0
36,Jasper Cillessen,nl,GK,,Valencia,La Liga,31,1989,10.0,11,1,1,0,0,11.3,0.21,+0.3,+0.03,67,187,35.8,225,42,55.1,41.4,95,66.3,52.1,170,3,1.8,11,1.10,19.2
37,Simone Colombi,it,GK,,Parma,it Serie A,29,1991,2.0,7,1,0,2,0,4.4,0.35,-2.6,-1.28,17,30,56.7,41,6,53.7,37.5,11,72.7,49.4,27,0,0.0,0,0.00,7.5
38,Andrea Consigli,it,GK,,Sassuolo,it Serie A,33,1987,37.0,56,4,0,4,1,53.6,0.27,-1.4,-0.04,118,319,37.0,1114,172,24.0,27.7,240,21.7,24.1,513,26,5.1,34,0.92,15.1
39,Alex Cordaz,it,GK,,Crotone,it Serie A,37,1983,36.0,91,5,2,9,2,72.1,0.33,-16.9,-0.47,195,502,38.8,1134,164,33.5,31.8,306,39.9,33.2,555,18,3.2,36,1.00,15.1
40,Angelo da Costa Júnior,br,GK,,Bologna,it Serie A,36,1983,6.0,9,1,1,0,0,8.6,0.33,-0.4,-0.06,27,53,50.9,240,24,17.9,27.6,43,23.3,26.3,86,5,5.8,10,1.67,15.0
41,Benoît Costil,fr,GK,,Bordeaux,Ligue 1,33,1987,38.0,56,7,2,6,1,48.2,0.26,-6.8,-0.18,264,610,43.3,1034,144,40.0,35.3,292,67.1,47.6,560,16,2.9,30,0.79,13.2
42,Thibaut Courtois,be,GK,,Real Madrid,La Liga,28,1992,38.0,28,7,0,3,1,32.7,0.22,+5.7,+0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7
43,Alessio Cragno,it,GK,,Cagliari,it Serie A,26,1994,34.0,53,5,1,7,0,54.2,0.27,+1.2,+0.03,175,429,40.8,688,139,39.1,33.5,274,58.4,42.0,530,19,3.6,22,0.65,14.2
44,Gian Crespi,it,GK,,Crotone,it Serie A,19,2001,1.0,0,0,0,0,0,0.4,0.44,+0.4,+0.44,7,11,63.6,29,4,27.6,26.3,11,27.3,28.0,14,0,0.0,1,1.00,18.7
45,Finn Dahmen,de,GK,,Mainz 05,Bundesliga,22,1998,3.0,10,1,0,1,0,8.6,0.38,-1.4,-0.47,4,19,21.1,59,16,27.1,29.6,27,11.1,23.7,49,3,6.1,4,1.33,11.9
46,Karl Darlow,wls,GK,,Newcastle Utd,Premier League,29,1990,25.0,43,3,1,4,2,37.2,0.27,-3.8,-0.15,175,505,34.7,504,92,65.3,44.9,216,81.5,55.3,401,18,4.5,10,0.40,9.2
47,Yehvann Diouf,fr,GK,,Reims,Ligue 1,20,1999,1.5,1,1,0,0,0,1.5,0.08,+0.5,+0.32,5,15,33.3,40,13,25.0,29.1,12,41.7,36.3,24,0,0.0,3,2.00,17.8
48,Marko Dmitrović,rs,GK,,Eibar,La Liga,28,1992,34.7,49,3,0,5,0,45.3,0.32,-3.7,-0.11,306,778,39.3,836,98,67.7,49.0,233,91.0,68.3,387,14,3.6,48,1.38,17.5
49,Jaume Doménech,es,GK,,Valencia,La Liga,29,1990,28.0,42,4,2,5,2,36.9,0.25,-3.1,-0.11,224,477,47.0,646,103,47.1,36.6,243,71.2,49.7,485,8,1.6,20,0.71,13.4
50,Gianluigi Donnarumma,it,GK,,Milan,it Serie A,21,1999,37.0,38,2,2,6,1,35.7,0.27,-1.3,-0.04,152,365,41.6,1021,148,27.3,29.0,207,41.5,33.7,556,29,5.2,43,1.16,14.8
51,Bartłomiej Drągowski,pl,GK,,Fiorentina,it Serie A,22,1997,35.0,55,8,1,10,1,56.2,0.33,+2.2,+0.06,180,496,36.3,789,160,44.9,37.9,260,54.6,43.6,486,24,4.9,27,0.77,13.3
52,Matthieu Dreyer,fr,GK,,Lorient,Ligue 1,31,1989,15.0,25,6,1,3,1,20.6,0.28,-3.4,-0.22,71,188,37.8,249,44,45.4,37.1,108,69.4,46.1,204,1,0.5,6,0.40,12.1
53,Martin Dúbravka,sk,GK,,Newcastle Utd,Premier League,31,1989,13.0,19,1,0,0,1,16.6,0.25,-1.4,-0.11,70,166,42.2,316,67,32.9,32.5,122,50.8,40.5,244,9,3.7,11,0.85,12.6
54,Ederson,br,GK,,Manchester City,Premier League,26,1993,36.0,28,7,0,2,1,28.6,0.23,+1.6,+0.05,108,266,40.6,967,161,20.6,28.4,153,43.8,39.3,309,19,6.1,44,1.22,16.6
55,Aarón Escandell,es,GK,,Granada,La Liga,24,1995,5.0,8,0,0,0,0,10.2,0.44,+2.2,+0.44,37,111,33.3,125,13,67.2,46.5,33,81.8,60.5,65,2,3.1,11,2.20,18.0
56,Jokin Ezkieta,es,GK,,Athletic Club,La Liga,23,1996,1.0,2,0,0,0,0,1.5,0.48,-0.5,-0.55,1,4,25.0,18,6,11.1,26.2,7,28.6,30.4,16,0,0.0,2,2.00,30.5
57,Łukasz Fabiański,pl,GK,,West Ham,Premier League,35,1985,35.0,44,3,0,4,4,40.8,0.27,+0.8,+0.02,238,609,39.1,738,154,54.9,40.4,272,75.0,51.9,516,26,5.0,15,0.43,10.8
58,Ralf Fährmann,de,GK,,Schalke 04,Bundesliga,31,1988,20.8,50,3,1,8,2,41.5,0.28,-6.5,-0.31,91,350,26.0,638,119,35.9,33.5,183,66.1,46.5,374,12,3.2,20,0.96,12.6
59,Wuilker Faríñez,ve,GK,,Lens,Ligue 1,22,1998,1.2,3,1,0,1,0,3.5,0.36,+0.5,+0.41,3,13,23.1,19,6,52.6,39.4,9,33.3,29.6,14,0,0.0,3,2.52,21.8
60,Aitor Fernández,es,GK,,Levante,La Liga,29,1991,29.0,44,3,1,6,2,36.6,0.29,-5.4,-0.19,100,281,35.6,721,153,31.8,32.8,206,25.2,28.1,396,6,1.5,54,1.86,17.7
61,Álvaro Fernández,es,GK,,Huesca,La Liga,22,1998,22.0,32,2,0,7,1,30.1,0.30,-0.9,-0.04,108,276,39.1,635,114,33.4,34.1,173,37.0,37.2,281,12,4.3,23,1.05,15.4
62,Andrés Fernández,es,GK,,Huesca,La Liga,33,1986,16.0,21,3,1,3,1,18.2,0.28,-1.8,-0.12,80,232,34.5,447,73,38.7,34.2,120,49.2,40.5,258,4,1.6,11,0.69,13.4
63,Marco Festa,it,GK,,Crotone,it Serie A,28,1992,1.0,1,0,0,0,0,0.9,0.11,-0.1,-0.10,8,13,61.5,26,9,30.8,31.1,10,50.0,36.7,20,0,0.0,1,1.00,11.5
64,Mark Flekken,nl,GK,,Freiburg,Bundesliga,27,1993,3.0,6,2,0,0,0,7.3,0.34,+1.3,+0.42,29,59,49.2,96,10,38.5,37.1,27,81.5,61.9,55,0,0.0,2,0.67,11.9
65,Fraser Forster,eng,GK,,Southampton,Premier League,32,1988,8.0,11,2,0,1,0,9.8,0.23,-1.2,-0.16,30,134,22.4,207,28,44.0,35.3,64,67.2,44.2,142,6,4.2,14,1.75,15.6
66,Daniel Fuzato,br,GK,,Roma,it Serie A,23,1997,5.0,7,0,0,1,0,5.6,0.22,-1.4,-0.27,17,51,33.3,122,31,32.8,34.1,30,36.7,37.2,50,4,8.0,2,0.40,11.5
67,Manuel Gasparini,it,GK,,Udinese,it Serie A,18,2002,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,100.0,44.0,1,0.0,15.0,0,0,,0,0.00,
68,Paulo Gazzaniga,ar,GK,,Elche,La Liga,28,1992,8.0,9,1,0,3,1,6.3,0.24,-1.7,-0.21,59,151,39.1,180,24,55.0,45.0,63,82.5,62.5,93,2,2.2,3,0.38,12.4
69,David de Gea,es,GK,,Manchester Utd,Premier League,29,1990,25.5,32,4,1,5,2,28.1,0.27,-1.9,-0.08,67,174,38.5,417,88,28.1,29.7,172,33.1,29.1,310,2,0.6,28,1.10,16.8
70,Rafał Gikiewicz,pl,GK,,Augsburg,Bundesliga,32,1987,34.0,54,6,0,2,3,53.2,0.26,+2.2,+0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0
71,David Gil,es,GK,,Cádiz,La Liga,26,1994,4.0,10,1,0,1,0,6.1,0.30,-3.9,-0.96,32,104,30.8,85,9,80.0,52.2,37,97.3,64.4,62,2,3.2,1,0.25,9.0
72,Pierluigi Gollini,it,GK,,Atalanta,it Serie A,25,1995,24.0,26,4,0,3,1,24.9,0.29,-0.1,0.00,92,232,39.7,550,87,28.7,32.6,116,63.8,49.7,234,6,2.6,39,1.63,17.4
73,Alfred Gomis,sn,GK,,Dijon,Ligue 1,26,1993,5.0,10,3,0,1,1,11.8,0.29,+2.8,+0.55,29,90,32.2,122,31,39.3,36.7,65,64.6,49.2,122,7,5.7,7,1.40,12.3
74,Alfred Gomis,sn,GK,,Rennes,Ligue 1,26,1993,22.0,25,3,0,0,1,21.8,0.25,-2.2,-0.10,81,204,39.7,532,113,25.8,28.6,130,51.5,41.2,222,7,3.2,35,1.59,18.7
75,Etienne Green,eng,GK,,Saint-Étienne,Ligue 1,20,2000,8.0,8,2,1,0,0,10.9,0.28,+2.9,+0.36,46,128,35.9,149,30,51.0,38.5,69,75.4,54.9,119,5,4.2,7,0.88,14.8
76,Lennart Grill,de,GK,,Leverkusen,Bundesliga,21,1999,4.0,7,0,0,0,0,7.9,0.38,+0.9,+0.24,8,23,34.8,136,26,15.4,24.6,25,8.0,22.6,39,1,2.6,7,1.75,17.4
77,Vicente Guaita,es,GK,,Crystal Palace,Premier League,33,1987,37.0,64,3,1,9,0,50.2,0.28,-13.8,-0.37,223,651,34.3,762,156,50.5,38.5,315,84.4,56.0,604,19,3.1,24,0.65,13.3
78,Péter Gulácsi,hu,GK,,RB Leipzig,Bundesliga,30,1990,33.0,30,3,0,1,0,26.8,0.30,-3.2,-0.10,96,222,43.2,1003,172,19.1,27.7,168,17.9,25.7,315,15,4.8,65,1.97,19.7
79,Samir Handanović,si,GK,,Inter,it Serie A,36,1984,36.0,33,4,1,3,1,31.6,0.24,-0.4,-0.01,91,200,45.5,911,159,17.0,26.7,167,26.9,30.8,441,13,2.9,22,0.61,14.9
80,Dean Henderson,eng,GK,,Manchester Utd,Premier League,23,1997,12.5,12,0,0,4,0,11.2,0.23,-0.8,-0.06,19,92,20.7,230,66,28.3,30.9,94,28.7,30.0,169,9,5.3,19,1.52,17.4
81,Sergio Herrera,es,GK,,Osasuna,La Liga,27,1993,32.9,40,4,0,5,2,39.5,0.28,+1.5,+0.05,389,891,43.7,892,82,72.5,48.0,259,94.2,61.1,533,29,5.4,69,2.10,17.5
82,Marwin Hitz,ch,GK,,Dortmund,Bundesliga,32,1987,15.5,16,2,0,1,1,15.1,0.30,+0.1,0.00,75,155,48.4,426,71,23.9,29.1,123,43.1,39.5,176,8,4.5,8,0.52,12.1
83,Timo Horn,de,GK,,Köln,Bundesliga,27,1993,33.4,59,7,1,5,0,53.7,0.30,-5.3,-0.16,234,530,44.2,1110,120,39.4,35.5,221,42.1,37.1,469,14,3.0,30,0.90,15.2
84,Lukáš Hrádecký,fi,GK,,Leverkusen,Bundesliga,30,1989,28.5,29,1,1,0,2,26.6,0.31,-0.4,-0.01,149,419,35.6,1208,179,29.7,31.5,180,33.3,32.8,322,20,6.2,58,2.04,18.2
85,Rune Jarstein,no,GK,,Hertha BSC,Bundesliga,35,1984,8.0,13,1,0,2,1,8.0,0.18,-4.0,-0.50,55,141,39.0,209,27,46.4,38.7,73,60.3,45.8,124,2,1.6,3,0.38,12.0
86,Sam Johnstone,eng,GK,,West Brom,Premier League,27,1993,37.0,74,7,2,7,3,67.2,0.26,-3.8,-0.10,293,889,33.0,994,182,63.8,45.0,296,86.1,56.8,645,20,3.1,38,1.03,14.0
87,Bingourou Kamara,sn,GK,,Strasbourg,Ligue 1,23,1996,8.0,14,1,0,1,1,10.3,0.29,-2.7,-0.34,54,133,40.6,189,47,45.0,35.4,56,85.7,59.2,93,1,1.1,2,0.25,10.6
88,Loris Karius,de,GK,,Union Berlin,Bundesliga,27,1993,3.2,1,0,0,0,1,0.9,0.23,+0.9,+0.28,17,53,32.1,73,9,52.1,40.4,21,71.4,53.7,47,2,4.3,1,0.31,8.6
89,Eiji Kawashima,jp,GK,,Strasbourg,Ligue 1,37,1983,24.0,31,3,1,3,0,31.0,0.31,0.0,0.00,195,404,48.3,520,81,50.2,38.9,192,74.5,53.5,349,11,3.2,11,0.46,11.9
90,Caoimhín Kelleher,ie,GK,,Liverpool,Premier League,21,1998,2.0,1,0,0,0,0,2.1,0.30,+1.1,+0.55,2,15,13.3,50,12,22.0,28.5,14,28.6,30.4,27,1,3.7,2,1.00,16.3
91,Gregor Kobel,ch,GK,,Stuttgart,Bundesliga,22,1997,33.0,54,5,1,3,1,52.5,0.29,-0.5,-0.02,126,315,40.0,940,207,27.6,28.2,280,20.0,25.2,459,17,3.7,42,1.27,15.9
92,Alban Lafont,fr,GK,,Nantes,Ligue 1,21,1999,38.0,55,10,2,7,1,51.2,0.24,-2.8,-0.07,199,641,31.0,864,131,50.2,39.9,257,80.5,54.8,507,23,4.5,36,0.95,14.9
93,Michael Langer,at,GK,,Schalke 04,Bundesliga,35,1985,2.7,12,0,0,4,1,6.7,0.29,-4.3,-1.64,11,33,33.3,51,8,37.3,35.8,26,53.8,38.9,42,0,0.0,5,1.88,15.8
94,Gautier Larsonneur,fr,GK,,Brest,Ligue 1,23,1997,35.0,62,8,1,5,2,53.6,0.27,-6.4,-0.18,181,398,45.5,967,173,31.7,33.7,282,32.3,34.4,548,26,4.7,24,0.69,12.9
95,Jean-Louis Leca,fr,GK,,Lens,Ligue 1,34,1985,36.8,51,10,0,5,3,42.6,0.25,-5.4,-0.15,186,494,37.7,764,141,48.7,37.5,257,47.5,39.0,480,17,3.5,29,0.79,14.3
96,Benjamin Lecomte,fr,GK,,Monaco,Ligue 1,29,1991,28.0,27,3,1,0,1,21.7,0.28,-4.3,-0.15,109,322,33.9,837,110,29.9,32.1,169,42.6,38.4,312,9,2.9,62,2.21,18.7
97,Jeremías Ledesma,ar,GK,,Cádiz,La Liga,27,1993,32.0,45,8,2,3,1,44.7,0.29,+0.7,+0.02,342,834,41.0,708,60,78.1,50.4,297,94.6,65.1,512,31,6.1,21,0.66,11.5
98,Bernd Leno,de,GK,,Arsenal,Premier League,28,1992,34.8,37,1,0,3,4,32.3,0.26,-0.7,-0.02,78,293,26.6,953,183,17.2,25.4,227,56.8,43.0,487,18,3.7,33,0.95,16.1
99,Karlo Letica,hr,GK,,Sampdoria,it Serie A,23,1997,1.0,0,0,0,0,0,0.2,0.22,+0.2,+0.22,1,5,20.0,29,7,13.8,25.6,5,20.0,33.6,17,0,0.0,1,1.00,11.0
100,Hugo Lloris,fr,GK,,Tottenham,Premier League,33,1986,38.0,45,10,0,3,3,45.6,0.24,+3.6,+0.10,159,408,39.0,814,180,38.6,32.4,264,35.6,28.1,590,23,3.9,24,0.63,13.1
101,Niklas Lomb,de,GK,,Leverkusen,Bundesliga,27,1993,1.5,3,0,0,0,0,3.3,0.42,+0.3,+0.23,5,12,41.7,53,14,17.0,28.0,7,42.9,38.7,17,0,0.0,2,1.33,18.0
102,Anthony Lopes,pt,GK,,Lyon,Ligue 1,29,1990,38.0,43,5,2,4,2,36.3,0.23,-4.7,-0.12,150,338,44.4,934,186,25.9,30.3,249,38.6,35.6,499,10,2.0,60,1.58,18.3
103,Pau López,es,GK,,Roma,it Serie A,25,1994,20.2,29,3,1,4,3,25.4,0.27,-0.6,-0.03,59,166,35.5,562,107,22.6,29.2,101,38.6,35.6,174,7,4.0,30,1.49,19.2
104,Andreas Luthe,de,GK,,Union Berlin,Bundesliga,33,1987,30.8,42,4,0,5,1,39.8,0.27,-1.2,-0.04,180,475,37.9,927,108,37.1,34.2,215,60.9,42.8,376,18,4.8,20,0.65,13.1
105,Mike Maignan,fr,GK,,Lille,Ligue 1,25,1995,38.0,23,1,0,7,2,28.8,0.25,+7.8,+0.21,123,393,31.3,826,194,30.3,31.6,240,59.6,48.7,490,27,5.5,44,1.16,17.2
106,Radosław Majecki,pl,GK,,Monaco,Ligue 1,20,1999,1.0,1,0,0,0,0,1.1,0.53,+0.1,+0.05,2,11,18.2,25,2,20.0,29.3,12,50.0,41.4,12,0,0.0,3,3.00,24.7
107,Steve Mandanda,fr,GK,,Marseille,Ligue 1,35,1985,37.0,45,3,1,7,1,39.0,0.29,-5.0,-0.14,143,491,29.1,1029,198,32.3,31.9,291,54.6,42.7,564,22,3.9,35,0.95,15.2
108,Niccolò Manfredini,it,GK,,Benevento,it Serie A,32,1988,1.0,1,0,0,1,0,0.9,0.18,-0.1,-0.08,1,5,20.0,24,9,8.3,25.6,7,42.9,36.9,19,2,10.5,3,3.00,13.0
109,Vito Mannone,it,GK,,Monaco,Ligue 1,32,1988,9.0,14,2,0,1,0,12.7,0.33,-1.3,-0.15,43,120,35.8,226,24,33.6,32.9,61,72.1,52.8,92,1,1.1,10,1.11,21.5
110,Federico Marchetti,it,GK,,Genoa,it Serie A,37,1983,3.7,11,0,0,1,0,8.6,0.48,-2.4,-0.64,11,30,36.7,103,17,16.5,24.4,34,38.2,30.4,48,1,2.1,6,1.62,14.5
111,Emiliano Martínez,ar,GK,,Aston Villa,Premier League,27,1992,38.0,46,5,2,4,1,49.2,0.24,+4.2,+0.11,247,639,38.7,1058,177,45.1,37.1,253,64.0,47.0,613,42,6.9,34,0.89,14.2
112,Josep Martinez,es,GK,,RB Leipzig,Bundesliga,22,1998,1.0,2,0,0,1,0,0.9,0.23,-1.1,-1.08,3,13,23.1,44,4,29.5,29.4,6,0.0,15.0,13,0,0.0,2,2.00,20.2
113,Jordi Masip,es,GK,,Valladolid,La Liga,31,1989,25.0,40,4,1,3,0,38.4,0.30,-1.6,-0.06,165,522,31.6,579,94,59.4,43.2,217,82.0,58.0,377,6,1.6,18,0.72,14.9
114,Alex McCarthy,eng,GK,,Southampton,Premier League,30,1989,30.0,57,6,1,2,1,46.5,0.28,-9.5,-0.32,109,435,25.1,900,131,37.1,32.0,171,59.1,41.1,365,23,6.3,31,1.03,15.6
115,Edouard Mendy,sn,GK,,Chelsea,Premier League,28,1992,30.5,25,2,1,4,1,21.9,0.24,-2.1,-0.07,71,197,36.0,846,126,17.6,25.4,179,26.8,25.7,335,17,5.1,27,0.89,15.2
116,Edouard Mendy,sn,GK,,Rennes,Ligue 1,28,1992,1.0,1,0,0,0,0,0.8,0.81,-0.2,-0.19,6,11,54.5,23,2,43.5,33.5,6,16.7,29.0,11,0,0.0,0,0.00,11.0
117,Alex Meret,it,GK,,Napoli,it Serie A,23,1997,22.0,29,2,1,3,1,26.2,0.31,-1.8,-0.08,35,77,45.5,510,96,12.2,24.9,93,16.1,23.3,241,8,3.3,13,0.59,13.1
118,Illan Meslier,fr,GK,,Leeds United,Premier League,20,2000,35.0,52,8,1,11,2,46.6,0.21,-3.4,-0.10,100,305,32.8,1099,286,19.7,27.4,267,33.3,29.4,447,24,5.4,19,0.54,11.9
119,Vanja Milinković-Savić,rs,GK,,Torino,it Serie A,23,1997,5.0,6,1,0,0,0,5.4,0.22,-0.6,-0.12,20,72,27.8,143,17,38.5,36.1,32,53.1,44.7,64,1,1.6,10,2.00,19.1
