Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
104,José Sá,pt,GK,,Wolves,Premier League,31,1993,3.0,10,0,0,2,0,6.5,0.32,-3.5,-1.16,20,71,28.2,94,7,60.6,42.8,16,87.5,58.8,47,4,8.5,5,1.67,15.2,Matches
105,Matvei Safonov,ru,GK,,Paris S-G,Ligue 1,25,1999,2.0,2,1,0,0,0,1.2,0.08,-0.8,-0.42,5,17,29.4,56,13,26.8,28.8,9,22.2,31.8,21,1,4.8,5,2.50,22.3,Matches
106,Brice Samba,fr,GK,,Lens,Ligue 1,30,1994,8.0,4,2,0,2,0,7.0,0.19,+3.0,+0.38,45,96,46.9,257,33,30.7,31.6,41,41.5,34.3,85,13,15.3,8,1.00,13.3,Matches
107,Robert Sánchez,es,GK,,Chelsea,Premier League,26,1997,8.0,10,1,0,0,0,11.0,0.21,+1.0,+0.12,25,82,30.5,313,52,23.3,28.4,28,32.1,32.5,76,10,13.2,22,2.75,16.7,Matches
108,Kauã Santos,br,GK,,Eint Frankfurt,Bundesliga,21,2003,3.5,6,1,0,3,0,7.0,0.23,+1.0,+0.28,10,42,23.8,121,20,28.9,30.8,13,53.8,42.2,74,9,12.2,7,2.00,13.7,Matches
109,Simone Scuffet,it,GK,,Cagliari,Serie A,28,1996,9.0,15,2,0,5,0,13.3,0.28,-1.7,-0.19,36,99,36.4,194,36,35.6,33.4,68,44.1,38.0,133,3,2.3,6,0.67,12.4,Matches
110,Matz Sels,be,GK,,Nott'ham Forest,Premier League,32,1992,9.0,7,1,1,0,0,7.8,0.22,+0.8,+0.09,64,180,35.6,198,18,67.2,44.4,57,82.5,57.1,153,3,2.0,1,0.11,6.6,Matches
111,Rui Silva,pt,GK,,Betis,La Liga,30,1994,10.0,9,2,0,2,0,10.2,0.26,+1.2,+0.12,20,88,22.7,284,45,24.3,30.1,56,33.9,35.3,132,9,6.8,24,2.40,18.4,Matches
112,Antonio Sivera,es,GK,,Alavés,La Liga,28,1996,10.0,18,4,1,0,0,18.0,0.34,0.0,0.00,89,208,42.8,221,21,69.2,46.8,73,75.3,56.1,102,3,2.9,13,1.30,17.5,Matches
113,Łukasz Skorupski,pl,GK,,Bologna,Serie A,33,1991,5.0,8,0,0,1,1,7.1,0.36,+0.1,+0.01,15,41,36.6,158,24,20.3,29.8,27,33.3,36.3,58,4,6.9,6,1.20,12.7,Matches
114,Yann Sommer,ch,GK,,Inter,Serie A,35,1988,8.0,9,1,0,1,0,9.4,0.24,+0.4,+0.05,16,43,37.2,265,34,14.3,25.5,30,16.7,26.1,89,3,3.4,4,0.50,13.3,Matches
115,David Soria,es,GK,,Getafe,La Liga,31,1993,10.0,8,1,0,0,0,8.8,0.29,+0.8,+0.08,54,163,33.1,143,16,68.5,49.1,75,86.7,61.0,121,4,3.3,8,0.80,12.5,Matches
116,Juan Soriano,es,GK,,Leganés,La Liga,27,1997,6.0,7,0,0,1,1,8.8,0.36,+2.8,+0.47,36,120,30.0,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0.00,8.4,Matches
117,Filip Stankovic,rs,GK,,Venezia,Serie A,22,2002,1.0,2,0,0,1,0,2.1,0.30,+0.1,+0.07,0,9,0.0,25,2,32.0,31.6,4,25.0,28.8,12,0,0.0,0,0.00,4.0,Matches
118,Jason Steele,eng,GK,,Brighton,Premier League,34,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.50,15.4,Matches
119,Zion Suzuki,jp,GK,,Parma,Serie A,22,2002,6.8,8,0,2,0,0,9.5,0.32,+1.5,+0.22,30,113,26.5,244,43,35.7,34.5,47,55.3,48.9,107,9,8.4,5,0.73,11.7,Matches
