Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90
936,Djené,tg,DF,Getafe,La Liga,29,1991,0,0,0,0,35,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
937,Moussa Djenepo,ml,MF,Southampton,Premier League,23,1998,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
938,Koffi Djidji,ci,DF,Torino,it Serie A,28,1992,0,0,0,0,25,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
939,Alexander Djiku,gh,DF,Strasbourg,Ligue 1,26,1994,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
940,Bryan Djile Nokoué,cm,DF,Saint-Étienne,Ligue 1,19,2002,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
941,Berat Djimsiti,al,DF,Atalanta,it Serie A,28,1993,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
942,Ouparine Djoco,gw,GK,Clermont Foot,Ligue 1,23,1998,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
943,Naïs Djouahra,fr,FW,Real Sociedad,La Liga,21,1999,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
944,Marko Dmitrović,rs,GK,Sevilla,La Liga,29,1992,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
945,Lewis Dobbin,eng,FW,Everton,Premier League,18,2003,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
946,Owen Dodgson,eng,DF,Burnley,Premier League,18,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
947,Matt Doherty,ie,DF,Tottenham,Premier League,29,1992,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
948,Jeremy Doku,be,FW,Rennes,Ligue 1,19,2002,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
949,Kasper Dolberg,dk,FW,Nice,Ligue 1,23,1997,0,0,0,0,26,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
950,Jaume Doménech,es,GK,Valencia,La Liga,30,1990,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
951,Brandon Domingues,fr,MF,Troyes,Ligue 1,21,2000,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
952,Carlos Dominguez,es,DF,Celta Vigo,La Liga,20,2001,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
953,Mario Dominguez,es,FW,Valencia,La Liga,17,2004,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
954,Nicolás Domínguez,ar,MF,Bologna,it Serie A,23,1998,0,0,0,0,28,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
955,John Donald,es,DF,Elche,La Liga,20,2000,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
956,Lee Dongjun,kr,MF,Hertha BSC,Bundesliga,24,1997,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
957,Anastasios Donis,gr,FW,Reims,Ligue 1,24,1996,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
958,Gianluigi Donnarumma,it,GK,Paris S-G,Ligue 1,22,1999,0,0,0,0,17,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
959,Niklas Dorsch,de,MF,Augsburg,Bundesliga,23,1998,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
960,Jodel Dossou,bj,FW,Clermont Foot,Ligue 1,29,1992,0,0,0,0,35,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
961,Lohann Doucet,fr,MF,Nantes,Ligue 1,18,2002,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
962,Abdoulaye Doucouré,ml,MF,Everton,Premier League,28,1993,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
963,Cheick Doucouré,ml,MF,Lens,Ligue 1,21,2000,0,0,0,0,34,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
964,Fodé Doucouré,ml,DF,Reims,Ligue 1,20,2001,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
965,Mamadou Doucouré,fr,DF,Gladbach,Bundesliga,23,1998,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
966,Désiré Doué,fr,MF,Rennes,Ligue 1,16,2005,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
967,Ismaël Doukouré,fr,DF,Strasbourg,Ligue 1,18,2003,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
968,Kamory Doumbia,ml,MF,Reims,Ligue 1,18,2003,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
969,Moussa Doumbia,ml,FW,Reims,Ligue 1,26,1994,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
970,Souleyman Doumbia,ci,DF,Angers,Ligue 1,24,1996,0,0,0,0,27,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
971,Kieran Dowell,eng,FW,Norwich City,Premier League,23,1997,0,0,0,0,19,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
972,Tommy Doyle,eng,MF,Manchester City,Premier League,19,2001,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
973,Bartłomiej Drągowski,pl,GK,Fiorentina,it Serie A,23,1997,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
974,Radu Drăgușin,ro,DF,Sampdoria,it Serie A,19,2002,0,0,0,0,13,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
975,Radu Drăgușin,ro,DF,Salernitana,it Serie A,19,2002,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
976,Cody Drameh,eng,DF,Leeds United,Premier League,19,2001,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
977,Julian Draxler,de,FW,Paris S-G,Ligue 1,27,1993,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
978,Matthieu Dreyer,fr,GK,Lorient,Ligue 1,32,1989,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
979,Stefan Drljača,de,GK,Dortmund,Bundesliga,22,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
980,Rick van Drongelen,nl,DF,Union Berlin,Bundesliga,22,1998,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
981,Domingos Duarte,pt,DF,Granada,La Liga,26,1995,0,0,0,0,21,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
982,Óscar Duarte,cr,DF,Levante,La Liga,32,1989,0,0,0,0,23,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
983,Rubén Duarte,es,DF,Alavés,La Liga,25,1995,0,0,0,0,34,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
984,Leo Dubois,fr,DF,Lyon,Ligue 1,26,1994,0,0,0,0,23,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
985,Martin Dúbravka,sk,GK,Newcastle Utd,Premier League,32,1989,0,0,0,0,26,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
986,Ondrej Duda,sk,MF,Köln,Bundesliga,26,1994,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
987,Jeremy Dudziak,tn,MF,Greuther Fürth,Bundesliga,25,1995,0,0,0,0,22,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
988,Shane Duffy,ie,DF,Brighton,Premier League,29,1992,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
989,Unai Dufur,es,DF,Osasuna,La Liga,22,1999,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
990,Denzel Dumfries,nl,DF,Inter,it Serie A,25,1996,0,0,0,0,33,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
991,Paul Dummett,wls,DF,Newcastle Utd,Premier League,29,1991,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
992,Alfred Duncan,gh,MF,Fiorentina,it Serie A,28,1993,0,0,0,0,33,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
993,Lewis Dunk,eng,DF,Brighton,Premier League,29,1991,0,0,0,0,29,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
994,Erik Durm,de,DF,Eint Frankfurt,Bundesliga,29,1992,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
995,Hugo Duro,es,DF,Getafe,La Liga,21,1999,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
996,Hugo Duro,es,FW,Valencia,La Liga,21,1999,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
997,Jean-Kevin Duverne,ht,DF,Brest,Ligue 1,24,1997,0,0,0,0,37,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
998,Paulo Dybala,ar,FW,Juventus,it Serie A,27,1993,0,0,0,0,29,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
999,Edin Džeko,ba,FW,Inter,it Serie A,35,1986,0,0,0,0,36,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1000,Steeve-Mike Ebongue,fr,MF,Genoa,it Serie A,20,2001,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1001,Enzo Ebosse,cm,DF,Angers,Ligue 1,22,1999,0,0,0,0,27,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1002,Tyronne Ebuehi,ng,DF,Venezia,it Serie A,25,1995,0,0,0,0,19,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1003,Simone Edera,it,MF,Torino,it Serie A,24,1997,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1004,Ederson,br,GK,Manchester City,Premier League,27,1993,0,0,0,0,37,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1005,Éderson,br,MF,Salernitana,it Serie A,22,1999,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1006,Odsonne Édouard,fr,FW,Crystal Palace,Premier League,23,1998,0,0,0,0,28,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1007,Samuel Edozie,eng,FW,Manchester City,Premier League,18,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1008,CJ Egan-Riley,eng,DF,Manchester City,Premier League,18,2003,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1009,Maximilian Eggestein,de,MF,Freiburg,Bundesliga,24,1996,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1010,Destiny Egharevba,it,FW,Fiorentina,it Serie A,18,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1011,Lilian Egloff,de,MF,Stuttgart,Bundesliga,18,2002,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1012,Kingsley Ehizibue,nl,DF,Köln,Bundesliga,26,1995,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1013,Julian Eitschberger,de,DF,Hertha BSC,Bundesliga,17,2004,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1014,Albin Ekdal,se,MF,Sampdoria,it Serie A,32,1989,0,0,0,0,26,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1015,Hugo Ekitike,fr,FW,Reims,Ligue 1,19,2002,0,0,0,0,24,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1016,Jurgen Ekkelenkamp,nl,MF,Hertha BSC,Bundesliga,21,2000,0,0,0,0,21,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1017,Jacques Ekomie,ga,DF,Bordeaux,Ligue 1,17,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1018,Emmanuel Ekong,se,FW,Empoli,it Serie A,19,2002,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1019,Caleb Ekuban,gh,FW,Genoa,it Serie A,27,1994,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1020,Pierre Ekwah Elimby,fr,MF,West Ham,Premier League,19,2002,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1021,Anthony Elanga,se,FW,Manchester Utd,Premier League,19,2002,0,0,0,0,21,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1022,Marvin Elimbi,fr,DF,Strasbourg,Ligue 1,18,2003,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1023,Alberth Elis,hn,FW,Bordeaux,Ligue 1,25,1996,0,0,0,0,20,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1024,Rob Elliot,ie,GK,Watford,Premier League,35,1986,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1025,Harvey Elliott,eng,MF,Liverpool,Premier League,18,2003,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1026,Elif Elmas,mk,FW,Napoli,it Serie A,21,1999,0,0,0,0,37,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1027,Mohamed Elneny,eg,MF,Arsenal,Premier League,29,1992,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1028,Aritz Elustondo,es,DF,Real Sociedad,La Liga,27,1994,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1029,Nico Elvedi,ch,DF,Gladbach,Bundesliga,24,1996,0,0,0,0,28,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1030,Mohamed Elyounoussi,no,MF,Southampton,Premier League,26,1994,0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1031,Adri Embarba,es,FW,Espanyol,La Liga,29,1992,0,0,0,0,32,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1032,Breel Embolo,ch,FW,Gladbach,Bundesliga,24,1997,0,0,0,0,29,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1033,Emerson,br,DF,Tottenham,Premier League,22,1999,0,0,0,0,31,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1034,Emerson,br,DF,Barcelona,La Liga,22,1999,0,0,0,0,3,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1035,Renaud Emond,be,FW,Nantes,Ligue 1,29,1991,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1036,Youssef En-Nesyri,ma,FW,Sevilla,La Liga,24,1997,0,0,0,0,23,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1037,Keita Endo,jp,MF,Union Berlin,Bundesliga,23,1997,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1038,Wataru Endo,jp,MF,Stuttgart,Bundesliga,28,1993,0,0,0,0,33,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1039,Yannik Engelhardt,de,MF,Freiburg,Bundesliga,20,2001,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1040,Christian Eriksen,dk,MF,Brentford,Premier League,29,1992,0,0,0,0,11,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
