Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
625,Marius Courcoul,fr,DF,Angers,Ligue 1,17,2007,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
626,Thibaut Courtois,be,GK,Real Madrid,La Liga,32,1992,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
627,Yan Couto,br,DF,Dortmund,Bundesliga,22,2002,0,0,0,0,8,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
628,Nicolas Cozza,fr,DF,Nantes,Ligue 1,25,1999,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
629,Nicolas Cozza,fr,DF,Wolfsburg,Bundesliga,25,1999,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
630,Aaron Cresswell,eng,DF,West Ham,Premier League,35,1989,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
631,Charlie Cresswell,eng,DF,Toulouse,Ligue 1,22,2002,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
632,Bryan Cristante,it,MF,Roma,it Serie A,29,1995,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
633,Domen Črnigoj,si,MF,Venezia,it Serie A,29,1995,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
634,Juan Cruz Armada,es,DF,Osasuna,La Liga,32,1992,0,0,0,0,10,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
635,Juan Cruz,es,FW,Leganés,La Liga,24,2000,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
636,Pablo Cruz,es,MF,Sevilla,La Liga,20,2004,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
637,Juan Cuadrado,co,DF,Atalanta,it Serie A,36,1988,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
638,Pau Cubarsí,es,DF,Barcelona,La Liga,17,2007,0,0,0,0,18,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
639,Marc Cucurella,es,DF,Chelsea,Premier League,26,1998,0,0,0,0,15,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
640,Iván Cuéllar,es,GK,Mallorca,La Liga,40,1984,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
641,Andres Cuenca,es,DF,Barcelona,La Liga,17,2007,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
642,Hugo Cuenca,py,MF,Milan,it Serie A,19,2005,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
643,Jorge Cuenca,es,DF,Fulham,Premier League,25,1999,0,0,0,0,4,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
644,Luke Cundle,eng,MF,Wolves,Premier League,22,2002,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
645,Matheus Cunha,br,MF,Wolves,Premier League,25,1999,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
646,Patrick Cutrone,it,FW,Como,it Serie A,26,1998,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
647,Tomáš Čvančara,cz,FW,Gladbach,Bundesliga,24,2000,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
648,Wylan Cyprien,fr,MF,Parma,it Serie A,29,1995,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
649,Marco D'Alessandro,it,DF,Monza,it Serie A,33,1991,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
650,Danilo D'Ambrosio,it,DF,Monza,it Serie A,36,1988,0,0,0,0,9,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
651,Lucas Da Cunha,fr,MF,Como,it Serie A,23,2001,0,0,0,0,14,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
652,Samuel Dahl,se,DF,Roma,it Serie A,24,2000,0,0,0,0,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
653,Finn Dahmen,de,GK,Augsburg,Bundesliga,26,1998,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
654,Thomas Dähne,de,GK,Holstein Kiel,Bundesliga,30,1994,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
655,Mahmoud Dahoud,de,MF,Eint Frankfurt,Bundesliga,28,1996,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
656,Patson Daka,zm,FW,Leicester City,Premier League,26,1998,0,0,0,0,5,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
657,Ameen Al-Dakhil,be,DF,Stuttgart,Bundesliga,22,2002,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
658,Marco Dalla Vecchia,it,MF,Torino,it Serie A,19,2005,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
659,Thijs Dallinga,nl,FW,Bologna,it Serie A,24,2000,0,0,0,0,12,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
660,Diogo Dalot,pt,DF,Manchester Utd,Premier League,25,1999,0,0,0,0,16,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,Matches
