Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1391,Joshua Kimmich,de,MF,,Bayern Munich,Bundesliga,29,1995,14,"1,260",90,100.0,14.0,14,90,14,0,,0,2.36,42,12,+30,+2.14,,31.3,9.1,+22.1,+1.58,Matches
1392,Joshua King,eng,MF,,Fulham,Premier League,17,2007,1,11,11,0.8,0.1,0,,0,1,11,7,3.00,1,0,+1,+8.18,+8.12,0.0,0.1,0.0,-0.34,Matches
1393,Joshua King,no,FW,MF,Toulouse,Ligue 1,32,1992,13,823,63,61.0,9.1,10,76,3,3,23,0,1.46,12,8,+4,+0.44,+1.12,12.9,9.3,+3.6,+0.39,Matches
1394,Maeson King,eng,DF,,Tottenham,Premier League,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1395,Cédric Kipré,ci,DF,,Reims,Ligue 1,28,1996,12,882,74,65.3,9.8,10,87,9,2,7,3,1.42,11,11,0,0.00,-0.38,12.6,13.9,-1.2,-0.12,Matches
1396,Bradel Kiwa,fr,MF,,Monaco,Ligue 1,18,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
1397,Jakub Kiwior,pl,DF,,Arsenal,Premier League,24,2000,8,327,41,22.7,3.6,2,90,2,6,25,7,1.88,3,5,-2,-0.55,-1.84,5.6,4.2,+1.4,+0.39,Matches
1398,Daniel Klein,de,GK,,Augsburg,Bundesliga,23,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
1399,Tim Kleindienst,de,FW,,Gladbach,Bundesliga,29,1995,14,"1,229",88,97.5,13.7,14,88,10,0,,0,1.50,23,17,+6,+0.44,+6.25,23.7,18.7,+4.9,+0.36,Matches
1400,Lukas Klostermann,de,DF,,RB Leipzig,Bundesliga,28,1996,12,754,63,59.8,8.4,8,84,7,4,20,1,2.00,10,5,+5,+0.60,+0.06,10.5,11.2,-0.7,-0.09,Matches
1401,Justin Kluivert,nl,MF,FW,Bournemouth,Premier League,25,1999,16,979,61,68.0,10.9,13,69,1,3,29,0,1.56,16,14,+2,+0.18,-0.01,21.2,12.8,+8.4,+0.77,Matches
1402,Ansgar Knauff,de,MF,DF,Eint Frankfurt,Bundesliga,22,2002,13,656,50,52.1,7.3,7,76,1,6,21,0,2.08,18,14,+4,+0.55,-0.94,14.9,12.2,+2.7,+0.37,Matches
1403,Magnus Knudsen,no,MF,,Holstein Kiel,Bundesliga,23,2001,13,922,71,73.2,10.2,12,76,6,1,8,0,0.38,10,25,-15,-1.46,+0.67,10.8,19.0,-8.2,-0.80,Matches
1404,Gregor Kobel,ch,GK,,Dortmund,Bundesliga,27,1997,12,"1,080",90,85.7,12.0,12,90,12,0,,0,1.58,22,17,+5,+0.42,+0.92,17.1,15.3,+1.8,+0.15,Matches
1405,Robin Koch,de,DF,,Eint Frankfurt,Bundesliga,28,1996,14,"1,242",89,98.6,13.8,14,89,13,0,,0,1.93,34,20,+14,+1.01,+1.01,26.7,21.7,+5.0,+0.36,Matches
1406,Diego Kochen,us,GK,,Barcelona,La Liga,18,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
1407,Hervé Koffi,bf,GK,,Lens,Ligue 1,28,1996,0,,,,,0,,0,0,,10,,,,,,,,,,,Matches
1408,Magnus Kofod Andersen,dk,MF,,Venezia,it Serie A,25,1999,11,579,53,40.2,6.4,6,80,2,5,20,4,0.91,8,9,-1,-0.16,+1.20,5.8,9.0,-3.2,-0.49,Matches
1409,Derrick Köhn,de,DF,,Werder Bremen,Bundesliga,25,1999,12,707,59,56.1,7.9,7,82,1,5,26,0,1.67,13,12,+1,+0.13,+0.62,9.0,9.7,-0.6,-0.08,Matches
1410,Philipp Köhn,ch,GK,,Monaco,Ligue 1,26,1998,9,810,90,56.3,9.0,9,90,9,0,,7,2.22,16,8,+8,+0.89,+0.60,18.1,8.7,+9.4,+1.04,Matches
1411,Dominik Kohr,de,DF,,Mainz 05,Bundesliga,30,1994,13,"1,152",89,91.4,12.8,13,89,10,0,,0,1.69,25,16,+9,+0.70,+3.20,19.2,16.3,+2.9,+0.23,Matches
1412,Koke,es,MF,,Atlético Madrid,La Liga,32,1992,17,"1,118",66,73.1,12.4,12,80,7,5,32,0,2.24,16,8,+8,+0.64,-1.98,16.5,9.7,+6.8,+0.54,Matches
1413,Sead Kolašinac,ba,DF,,Atalanta,it Serie A,31,1993,10,854,85,59.3,9.5,10,85,7,0,,0,2.50,25,9,+16,+1.69,+0.76,17.5,7.0,+10.5,+1.10,Matches
1414,Markus Kolke,de,GK,,Werder Bremen,Bundesliga,34,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1415,Randal Kolo Muani,fr,FW,,Paris S-G,Ligue 1,26,1998,10,358,36,24.9,4.0,2,68,1,8,28,3,2.40,10,7,+3,+0.75,-1.49,10.6,3.0,+7.7,+1.92,Matches
1416,Marco Komenda,hr,DF,,Holstein Kiel,Bundesliga,28,1996,5,198,40,15.7,2.2,3,60,1,2,9,6,0.80,0,6,-6,-2.73,-1.29,2.7,3.9,-1.2,-0.53,Matches
1417,Mert Kömür,de,MF,,Augsburg,Bundesliga,19,2005,5,132,26,10.5,1.5,0,,0,5,26,4,0.20,0,4,-4,-2.73,-2.17,0.9,4.0,-3.1,-2.10,Matches
1418,Ibrahima Konaté,fr,DF,,Liverpool,Premier League,25,1999,12,974,81,72.1,10.8,11,84,9,1,45,0,2.58,22,8,+14,+1.29,+0.34,22.1,9.8,+12.2,+1.13,Matches
1419,Ismael Konate,ci,FW,DF,Empoli,it Serie A,18,2006,2,6,3,0.4,0.1,0,,0,2,3,11,0.00,0,0,0,0.00,+0.13,0.0,0.1,-0.1,-1.30,Matches
1420,Geoffrey Kondogbia,cf,DF,MF,Marseille,Ligue 1,31,1993,13,"1,100",85,81.5,12.2,12,90,11,1,25,0,1.85,21,13,+8,+0.65,-1.51,15.7,17.6,-1.8,-0.15,Matches
1421,Abdoul Koné,fr,DF,,Reims,Ligue 1,19,2005,2,111,56,8.2,1.2,1,60,0,1,51,0,1.50,1,1,0,0.00,-0.15,1.2,2.0,-0.8,-0.68,Matches
1422,Amadou Koné,ml,MF,,Reims,Ligue 1,19,2005,10,464,46,34.4,5.2,6,70,2,4,11,1,0.90,6,3,+3,+0.58,+0.68,8.3,6.6,+1.8,+0.34,Matches
1423,Ismaël Koné,ca,MF,FW,Marseille,Ligue 1,22,2002,7,315,45,23.3,3.5,3,62,0,4,33,4,1.71,3,3,0,0.00,-1.22,4.3,7.4,-3.1,-0.88,Matches
1424,Manu Koné,fr,MF,,Roma,it Serie A,23,2001,14,984,70,68.3,10.9,11,82,7,3,29,0,1.07,11,17,-6,-0.55,-0.75,11.4,13.5,-2.0,-0.19,Matches
1425,Ezri Konsa,eng,DF,,Aston Villa,Premier League,27,1997,14,"1,181",84,82.0,13.1,14,84,13,0,,1,1.50,19,22,-3,-0.23,-0.92,20.4,15.7,+4.7,+0.36,Matches
1426,Teun Koopmeiners,nl,MF,FW,Juventus,it Serie A,26,1998,12,895,75,62.2,9.9,10,83,8,2,33,0,1.50,12,4,+8,+0.80,-0.19,12.5,6.3,+6.2,+0.62,Matches
1427,Odilon Kossounou,ci,DF,,Atalanta,it Serie A,23,2001,9,540,60,37.5,6.0,6,84,4,3,12,1,2.44,11,6,+5,+0.83,-0.87,10.1,4.7,+5.4,+0.89,Matches
1428,Odilon Kossounou,ci,DF,,Leverkusen,Bundesliga,23,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1429,Ilias Kostis,gr,DF,,Atlético Madrid,La Liga,21,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
1430,Eddy Kouadio,ci,DF,,Fiorentina,it Serie A,18,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
1431,Christian Kouamé,ci,FW,MF,Fiorentina,it Serie A,27,1997,13,563,43,41.7,6.3,5,74,1,8,24,2,2.15,10,1,+9,+1.44,+0.52,8.1,4.4,+3.7,+0.59,Matches
1432,Henri Koudossou,de,DF,,Augsburg,Bundesliga,25,1999,10,341,34,27.1,3.8,2,78,1,8,23,3,1.40,5,5,0,0.00,+1.08,4.5,5.0,-0.5,-0.14,Matches
1433,Konstantinos Koulierakis,gr,DF,,Wolfsburg,Bundesliga,21,2003,12,926,77,73.5,10.3,10,87,9,2,26,0,1.50,23,16,+7,+0.68,+0.95,15.2,16.5,-1.3,-0.13,Matches
1434,Emmanuel Koum Mbondo,fr,DF,,Marseille,Ligue 1,18,2006,1,12,12,0.9,0.1,0,,0,1,12,1,3.00,0,0,0,0.00,-0.94,0.3,0.0,+0.3,+2.20,Matches
1435,Jules Koundé,fr,DF,,Barcelona,La Liga,26,1998,18,"1,435",80,88.6,15.9,16,87,14,2,19,0,2.11,43,18,+25,+1.57,-0.86,39.5,21.5,+17.9,+1.12,Matches
1436,Boubakar Kouyaté,ml,DF,,Montpellier,Ligue 1,27,1997,2,111,56,8.2,1.2,1,90,1,1,21,1,1.50,2,7,-5,-4.05,-2.75,1.3,4.3,-2.9,-2.40,Matches
1437,Mateo Kovačić,hr,MF,,Manchester City,Premier League,30,1994,12,902,75,62.6,10.0,10,81,7,2,47,0,1.92,19,15,+4,+0.40,+0.23,19.1,14.9,+4.2,+0.42,Matches
