Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
61,Luis Alberto,es,MF,Lazio,it Serie A,30,1992,25.7,118,4.60,81,29,0,7,0,1,9,0.35,8,1,0,0,0,0
62,Raúl Albiol,es,DF,Villarreal,La Liga,37,1985,22.6,4,0.18,2,0,0,2,0,0,1,0.04,1,0,0,0,0,0
63,Thiago Alcántara,es,MF,Liverpool,Premier League,32,1991,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Carlos Alcaraz,ar,MF,Juventus,it Serie A,20,2002,4.2,6,1.42,6,0,0,0,0,0,1,0.24,1,0,0,0,0,0
65,Rubén Alcaraz,es,MF,Cádiz,La Liga,32,1991,34.8,75,2.15,52,10,1,7,2,3,5,0.14,3,0,0,2,0,0
66,Omar Alderete,py,DF,Getafe,La Liga,26,1996,24.4,31,1.27,24,0,4,2,1,0,3,0.12,3,0,0,0,0,0
67,Iván Alejo,es,MF,Cádiz,La Liga,28,1995,18.8,37,1.97,25,3,1,0,8,0,5,0.27,3,0,0,0,2,0
68,Carles Aleñá,es,MF,Getafe,La Liga,25,1998,11.3,36,3.18,21,12,0,1,1,1,2,0.18,1,1,0,0,0,0
69,Trent Alexander-Arnold,eng,DF,Liverpool,Premier League,24,1998,23.9,126,5.27,80,33,5,6,0,2,7,0.29,4,3,0,0,0,0
70,Aboubacar Ali,fr,MF/FW,Strasbourg,Ligue 1,17,2006,1.4,1,0.69,1,0,0,0,0,0,1,0.69,1,0,0,0,0,0
71,Mohamed Ali Cho,fr,FW/MF,Real Sociedad,La Liga,19,2004,2.8,3,1.08,1,0,1,0,1,0,1,0.36,0,0,0,0,1,0
72,Mohamed Ali Cho,fr,FW,Nice,Ligue 1,19,2004,9.6,34,3.56,20,4,5,0,5,0,4,0.42,3,0,0,0,1,0
73,Faride Alidou,de,FW/MF,Köln,Bundesliga,22,2001,14.2,34,2.39,23,0,5,1,5,0,3,0.21,1,0,1,0,1,0
74,Nabil Alioui,fr,MF/FW,Le Havre,Ligue 1,24,1999,11.2,40,3.56,24,11,3,2,0,0,2,0.18,1,1,0,0,0,0
75,Alisson,br,GK,Liverpool,Premier League,30,1992,28.0,11,0.39,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0
76,Tadeo Allende,ar,MF/FW,Celta Vigo,La Liga,24,1999,3.7,9,2.41,4,0,1,3,1,0,0,0.00,0,0,0,0,0,0
77,Jim Allevinah,ga,MF/DF,Clermont Foot,Ligue 1,28,1995,20.7,58,2.80,37,2,6,6,6,1,3,0.15,3,0,0,0,0,0
78,Domingos André Ribeiro Almeida,pt,FW/MF,Valencia,La Liga,23,2000,10.7,29,2.71,18,3,3,3,2,0,1,0.09,1,0,0,0,0,0
79,Miguel Almirón,py,FW,Newcastle Utd,Premier League,29,1994,21.5,52,2.41,40,1,3,7,1,0,4,0.19,2,1,0,1,0,0
80,Pontus Almqvist,se,FW/MF,Lecce,it Serie A,24,1999,23.4,64,2.74,38,1,9,5,8,3,7,0.30,4,0,0,0,2,1
81,Marcos Alonso,es,DF,Barcelona,La Liga,32,1990,2.8,8,2.86,7,1,0,0,0,0,1,0.36,1,0,0,0,0,0
82,Adrià Altimira,es,DF/MF,Villarreal,La Liga,22,2001,8.6,6,0.70,6,0,0,0,0,0,1,0.12,1,0,0,0,0,0
83,Sergi Altimira,es,MF,Betis,La Liga,21,2001,6.3,14,2.22,8,1,2,1,2,0,0,0.00,0,0,0,0,0,0
84,Edson Álvarez,mx,MF,West Ham,Premier League,25,1997,26.4,32,1.21,24,0,2,3,0,3,2,0.08,2,0,0,0,0,0
85,Gastón Álvarez,uy,DF,Getafe,La Liga,23,2000,28.2,22,0.78,17,1,1,3,0,0,1,0.04,1,0,0,0,0,0
86,Hugo Álvarez,es,MF/DF,Celta Vigo,La Liga,20,2003,8.5,31,3.66,25,2,4,0,0,0,2,0.24,1,0,1,0,0,0
87,Julián Álvarez,ar,MF/FW,Manchester City,Premier League,23,2000,29.4,118,4.01,74,28,4,10,2,0,15,0.51,12,1,0,0,2,0
88,Yeray Álvarez,es,DF,Athletic Club,La Liga,28,1995,12.8,10,0.78,8,2,0,0,0,0,2,0.16,2,0,0,0,0,0
89,Skelly Alvero,fr,MF,Lyon,Ligue 1,21,2002,4.7,12,2.54,7,1,1,2,1,0,0,0.00,0,0,0,0,0,0
90,Skelly Alvero,fr,MF,Werder Bremen,Bundesliga,21,2002,1.4,4,2.90,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
91,Papa Amadou Diallo,sn,FW,Metz,Ligue 1,19,2004,9.9,20,2.02,18,0,0,1,0,1,1,0.10,1,0,0,0,0,0
92,Selim Amallah,ma,FW/MF,Valencia,La Liga,26,1996,6.7,14,2.09,7,0,3,0,4,0,1,0.15,1,0,0,0,0,0
93,Amath,sn,FW/MF,Mallorca,La Liga,27,1996,4.4,17,3.87,6,0,5,2,3,1,0,0.00,0,0,0,0,0,0
94,Lorenzo Amatucci,it,MF,Fiorentina,it Serie A,19,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
95,Jordan Amavi,fr,DF,Brest,Ligue 1,29,1994,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
96,Zeki Amdouni,ch,FW,Burnley,Premier League,22,2000,21.7,50,2.30,30,0,5,7,5,3,4,0.18,1,0,2,0,1,0
97,Kelvin Amian,fr,DF,Nantes,Ligue 1,25,1998,8.9,8,0.90,8,0,0,0,0,0,1,0.11,1,0,0,0,0,0
98,Bruno Amione,ar,DF,Hellas Verona,it Serie A,21,2002,6.4,3,0.47,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
99,Michael Amir Murillo,pa,DF,Marseille,Ligue 1,27,1996,11.1,15,1.35,9,1,1,0,2,2,3,0.27,3,0,0,0,0,0
100,Nadiem Amiri,de,MF,Mainz 05,Bundesliga,26,1996,14.6,91,6.23,34,43,6,1,4,3,11,0.75,6,4,1,0,0,0
101,Nadiem Amiri,de,MF,Leverkusen,Bundesliga,26,1996,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
102,Kofi Amoako,de,MF,Wolfsburg,Bundesliga,18,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
103,Sofyan Amrabat,ma,MF/DF,Manchester Utd,Premier League,26,1996,10.4,19,1.82,19,0,0,0,0,0,1,0.10,1,0,0,0,0,0
104,Joachim Andersen,dk,DF,Crystal Palace,Premier League,27,1996,37.9,47,1.24,41,1,0,3,0,2,5,0.13,5,0,0,0,0,0
105,Elliot Anderson,eng,MF/FW,Newcastle Utd,Premier League,20,2002,11.4,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0
106,Felipe Anderson,br,FW/MF,Lazio,it Serie A,30,1993,30.8,92,2.99,76,2,4,5,2,3,12,0.39,10,0,1,0,0,1
107,Benjamin André,fr,MF,Lille,Ligue 1,32,1990,28.6,49,1.72,41,1,0,0,5,2,3,0.11,1,0,0,0,2,0
108,Komnen Andrić,rs,FW,Clermont Foot,Ligue 1,28,1995,1.9,6,3.20,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
109,Robert Andrich,de,MF/DF,Leverkusen,Bundesliga,28,1994,18.8,54,2.88,47,0,0,4,2,1,6,0.32,6,0,0,0,0,0
110,Miguel Ángel Rubio,es,DF,Granada,La Liga,25,1998,17.3,6,0.35,5,0,1,0,0,0,1,0.06,1,0,0,0,0,0
111,Angeliño,es,DF,Roma,it Serie A,26,1997,12.7,33,2.60,30,2,0,1,0,0,3,0.24,3,0,0,0,0,0
112,Ângelo,br,FW/MF,Strasbourg,Ligue 1,18,2004,12.2,54,4.45,43,2,5,1,2,1,6,0.49,5,0,0,0,1,0
113,Fabrizio Angileri,ar,DF/MF,Getafe,La Liga,29,1994,1.8,9,4.91,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0
114,Jaidon Anthony,eng,FW,Bournemouth,Premier League,23,1999,1.7,3,1.78,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
115,Waldemar Anton,de,DF,Stuttgart,Bundesliga,27,1996,32.1,39,1.22,33,0,0,4,1,1,9,0.28,8,0,0,1,0,0
116,Michail Antonio,jm,FW,West Ham,Premier League,33,1990,18.8,33,1.75,18,1,5,3,4,2,5,0.27,4,0,1,0,0,0
117,Antony,br,FW,Manchester Utd,Premier League,23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.20,1,0,0,0,0,2
118,Christopher Antwi-Adjei,gh,FW/MF,Bochum,Bundesliga,29,1994,13.5,48,3.55,31,9,2,3,3,0,4,0.30,4,0,0,0,0,0
119,Houssem Aouar,dz,MF/FW,Roma,it Serie A,25,1998,8.4,21,2.50,12,4,1,2,2,0,0,0.00,0,0,0,0,0,0
120,Stredair Appuah,fr,FW/MF,Nantes,Ligue 1,19,2004,0.9,2,2.14,0,0,1,1,0,0,0,0.00,0,0,0,0,0,0
121,Mauro Arambarri,uy,MF,Getafe,La Liga,27,1995,3.8,9,2.39,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0
122,Jon Aramburu,ve,DF,Real Sociedad,La Liga,21,2002,6.0,4,0.66,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
123,Asaf Arania,il,MF,Darmstadt 98,Bundesliga,17,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
124,Julian Araujo,mx,DF,Las Palmas,La Liga,21,2001,16.2,31,1.91,25,2,2,0,1,1,1,0.06,1,0,0,0,0,0
125,Ronald Araújo,uy,DF,Barcelona,La Liga,24,1999,22.2,22,0.99,14,0,1,7,0,0,4,0.18,1,0,0,3,0,0
126,Oliver Arblaster,eng,MF,Sheffield Utd,Premier League,19,2004,10.5,23,2.20,19,2,0,1,0,1,2,0.19,1,0,0,1,0,0
127,Cameron Archer,eng,FW/MF,Sheffield Utd,Premier League,22,2001,20.4,49,2.41,32,0,9,5,1,2,4,0.20,2,0,1,1,0,0
128,Cameron Archer,eng,MF,Aston Villa,Premier League,22,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
129,Alphonse Areola,fr,GK,West Ham,Premier League,30,1993,30.0,2,0.07,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
130,Adu Ares,es,FW,Athletic Club,La Liga,21,2001,2.9,3,1.02,2,0,1,0,0,0,1,0.34,1,0,0,0,0,0
131,Jesús Areso,es,DF,Osasuna,La Liga,24,1999,29.6,70,2.37,57,5,6,1,1,0,12,0.41,9,1,2,0,0,0
132,Simone Aresti,it,GK,Cagliari,it Serie A,37,1986,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
133,Matias Arezo,uy,FW,Granada,La Liga,20,2002,4.1,5,1.22,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0
134,Iñigo Arguibide,es,DF,Osasuna,La Liga,18,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
135,Yoël Armougom,fr,DF/MF,Clermont Foot,Ligue 1,25,1998,2.6,8,3.08,7,0,0,1,0,0,1,0.38,1,0,0,0,0,0
136,José Arnaiz,es,FW/MF,Osasuna,La Liga,28,1995,10.3,40,3.88,13,12,2,5,8,0,5,0.48,1,2,0,1,1,0
137,Hákon Arnar Haraldsson,is,FW/MF,Lille,Ligue 1,20,2003,14.3,35,2.45,23,2,3,2,5,0,1,0.07,0,0,0,0,1,0
138,Marko Arnautović,at,FW,Inter,it Serie A,34,1989,8.9,24,2.71,22,0,0,1,1,0,3,0.34,3,0,0,0,0,0
139,Maximilian Arnold,de,MF,Wolfsburg,Bundesliga,29,1994,27.8,82,2.94,47,28,1,3,2,1,3,0.11,1,0,0,2,0,0
140,Mohamed El Arouch,fr,FW,Lyon,Ligue 1,19,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
141,Sergio Arribas,es,MF/FW,Almería,La Liga,21,2001,22.7,92,4.04,63,12,3,6,6,2,9,0.40,5,0,1,1,1,1
142,Kepa Arrizabalaga,es,GK,Real Madrid,La Liga,28,1994,13.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
143,Arthur,br,DF,Leverkusen,Bundesliga,20,2003,2.0,7,3.41,5,1,0,0,0,1,2,0.97,2,0,0,0,0,0
144,Takuma Asano,jp,FW/MF,Bochum,Bundesliga,28,1994,22.1,65,2.95,44,1,5,8,6,1,5,0.23,3,0,0,2,0,0
145,Marco Asensio,es,MF/FW,Paris S-G,Ligue 1,27,1996,12.4,52,4.21,38,10,1,1,1,1,7,0.57,5,1,0,1,0,0
146,Kristjan Asllani,al,MF,Inter,it Serie A,21,2002,8.7,19,2.18,13,4,1,1,0,0,5,0.57,4,1,0,0,0,0
147,Joel Asoro,se,FW/MF,Metz,Ligue 1,24,1999,9.4,21,2.23,11,2,2,1,5,0,3,0.32,1,0,1,0,1,0
148,Jonathan Asp Jensen,dk,FW,Bayern Munich,Bundesliga,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
149,Iago Aspas,es,FW,Celta Vigo,La Liga,35,1987,30.1,172,5.72,120,30,7,8,7,0,20,0.67,14,2,2,1,1,0
150,Lorenz Assignon,tg,DF,Burnley,Premier League,23,2000,13.7,23,1.68,18,3,1,0,1,0,2,0.15,2,0,0,0,0,0
151,Lorenz Assignon,tg,DF,Rennes,Ligue 1,23,2000,11.2,38,3.38,27,3,4,0,2,2,6,0.53,3,0,2,0,1,0
152,Youcef Atal,dz,DF,Nice,Ligue 1,27,1996,4.0,12,3.01,9,0,1,1,1,0,1,0.25,1,0,0,0,0,0
153,Valentin Atangana Edoa,fr,MF,Reims,Ligue 1,17,2005,6.2,6,0.97,2,0,0,2,1,1,0,0.00,0,0,0,0,0,0
154,Arthur Atta,fr,MF/FW,Metz,Ligue 1,20,2003,10.3,19,1.85,15,0,2,2,0,0,3,0.29,1,0,0,2,0,0
155,Noah Atubolu,de,GK,Freiburg,Bundesliga,21,2002,34.0,4,0.12,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
156,Pierre-Emerick Aubameyang,ga,FW,Marseille,Ligue 1,34,1989,29.1,75,2.57,45,0,6,18,5,1,14,0.48,8,0,1,5,0,0
157,Emil Audero,it,GK,Inter,it Serie A,26,1997,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
