Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
441,Eduardo Camavinga,fr,MF,DF,Real Madrid,La Liga,19,2002,22.3,72,3.23,55,0,5,3,9,0,5,0.22,55,0,5,3,9,0
442,Nicolò Cambiaghi,it,FW,MF,Empoli,Serie A,21,2000,14.3,53,3.71,31,1,3,5,10,3,7,0.49,31,1,3,5,10,3
443,Andrea Cambiaso,it,DF,,Bologna,Serie A,22,2000,24.1,55,2.28,43,4,4,2,2,0,7,0.29,43,4,4,2,2,0
444,Axel Camblan,fr,FW,MF,Brest,Ligue 1,18,2003,0.8,3,3.97,3,0,0,0,0,0,0,0.00,3,0,0,0,0,0
445,Sergio Camello,es,FW,,Rayo Vallecano,La Liga,21,2001,26.7,62,2.32,49,1,6,2,4,0,7,0.26,49,1,6,2,4,0
446,Chem Campbell,wls,FW,MF,Wolves,Premier League,19,2002,0.8,2,2.43,1,0,1,0,0,0,0,0.00,1,0,1,0,0,0
447,Emre Can,de,MF,,Dortmund,Bundesliga,28,1994,21.1,46,2.18,43,1,0,1,1,0,3,0.14,43,1,0,1,1,0
448,Sergio Canales,es,FW,MF,Betis,La Liga,31,1991,26.7,111,4.16,85,16,3,3,3,1,8,0.30,85,16,3,3,3,1
449,Matteo Cancellieri,it,FW,,Lazio,Serie A,20,2002,2.8,8,2.82,4,0,1,1,2,0,0,0.00,4,0,1,1,2,0
450,João Cancelo,pt,DF,,Manchester City,Premier League,28,1994,14.2,39,2.76,30,0,2,5,1,1,6,0.42,30,0,2,5,1,1
451,João Cancelo,pt,DF,FW,Bayern Munich,Bundesliga,28,1994,11.2,35,3.11,31,0,1,1,2,0,10,0.89,31,0,1,1,2,0
452,Antonio Candreva,it,MF,DF,Salernitana,Serie A,35,1987,30.3,99,3.27,67,22,2,5,3,0,11,0.36,67,22,2,5,3,0
