Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
63,Carlos Alcaraz,ar,MF,,Southampton,Premier League,22,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
64,Omar Alderete,py,DF,,Getafe,La Liga,27,1996,15.8,24,1.51,19,1,0,3,0,1,3,0.19,19,1,0,3,0,1,Matches
65,Carles Aleñá,es,MF,FW,Getafe,La Liga,26,1998,3.5,3,0.87,2,0,0,0,1,0,0,0.00,2,0,0,0,1,0,Matches
66,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,26,1998,11.6,37,3.20,27,9,1,0,0,0,7,0.61,27,9,1,0,0,0,Matches
67,Alfon,es,FW,MF,Celta Vigo,La Liga,25,1999,3.3,20,6.10,7,0,5,5,3,0,1,0.31,7,0,5,5,3,0,Matches
68,Mohamed Ali Cho,fr,FW,MF,Nice,Ligue 1,20,2004,8.5,29,3.40,20,3,2,0,4,0,5,0.59,20,3,2,0,4,0,Matches
69,Faride Alidou,de,FW,MF,Hellas Verona,Serie A,23,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.00,1,0,1,0,0,0,Matches
70,Alisson,br,GK,,Liverpool,Premier League,32,1992,6.9,1,0.15,1,0,0,0,0,0,0,0.00,1,0,0,0,0,0,Matches
71,Tadeo Allende,ar,FW,,Celta Vigo,La Liga,25,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Jim Allevinah,ga,FW,,Angers,Ligue 1,29,1995,8.3,19,2.29,11,0,0,5,2,1,4,0.48,11,0,0,5,2,1,Matches
73,Domingos André Ribeiro Almeida,pt,FW,MF,Valencia,La Liga,24,2000,5.7,24,4.21,14,4,1,2,2,1,0,0.00,14,4,1,2,2,1,Matches
