Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
46,Paul Akouokou,ci,MF,,Betis,La Liga,22,1997,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,Matches
47,Jean-Daniel Akpa-Akpro,ci,MF,,Lazio,it Serie A,27,1992,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13,Matches
48,Kevin Akpoguma,ng,DF,,Hoffenheim,Bundesliga,25,1995,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,Matches
49,David Alaba,at,DF,MF,Bayern Munich,Bundesliga,28,1992,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,Matches
50,Sofiane Alakouch,ma,DF,,Nîmes,Ligue 1,22,1998,16.7,53,33,30,16,7,29,45,64.4,16,17,2,15,21,74,38,Matches
51,Jony Álamo,es,MF,,Elche,La Liga,18,2001,0.8,2,1,1,0,1,0,1,0.0,1,0,0,0,1,3,0,Matches
52,Lucas Alario,ar,FW,,Leverkusen,Bundesliga,27,1992,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10,Matches
53,Jordi Alba,es,DF,FW,Barcelona,La Liga,31,1989,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,Matches
54,Luis Alberto,es,MF,,Lazio,it Serie A,27,1992,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11,Matches
55,Raúl Albiol,es,DF,,Villarreal,La Liga,34,1985,34.6,22,15,19,3,0,13,18,72.2,5,32,22,10,22,44,146,Matches
56,Marc Albrighton,eng,DF,FW,Leicester City,Premier League,30,1989,19.4,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,Matches
57,Paco Alcácer,es,FW,,Villarreal,La Liga,26,1993,17.2,6,3,1,2,3,3,7,42.9,4,8,0,8,9,15,6,Matches
58,Pedro Alcalá,es,DF,,Cádiz,La Liga,31,1989,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50,Matches
59,Thiago Alcántara,es,MF,,Liverpool,Premier League,29,1991,20.6,61,36,20,30,11,17,49,34.7,32,26,0,26,30,91,14,Matches
60,Rubén Alcaraz,es,MF,,Valladolid,La Liga,29,1991,24.1,54,29,32,21,1,30,80,37.5,50,35,8,27,31,85,28,Matches
61,Omar Alderete,py,DF,,Hertha BSC,Bundesliga,23,1996,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61,Matches
62,Toby Alderweireld,be,DF,,Tottenham,Premier League,31,1989,24.9,35,22,22,11,2,18,30,60.0,12,40,28,12,10,45,121,Matches
63,Iván Alejo,es,MF,FW,Cádiz,La Liga,25,1995,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10,Matches
64,Carles Aleñá,es,MF,,Barcelona,La Liga,22,1998,0.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,Matches
65,Carles Aleñá,es,MF,FW,Getafe,La Liga,22,1998,15.2,15,10,3,9,3,7,25,28.0,18,14,1,13,2,17,2,Matches
66,Rúnar Alex Rúnarsson,is,GK,,Arsenal,Premier League,25,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
67,Trent Alexander-Arnold,eng,DF,,Liverpool,Premier League,21,1998,33.7,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,Matches
68,Alfon,es,MF,,Celta Vigo,La Liga,21,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
69,Mohamed Ali Cho,fr,FW,MF,Angers,Ligue 1,16,2004,3.9,9,7,2,6,1,4,9,44.4,5,4,0,4,3,12,0,Matches
70,Ezgjan Alioski,mk,DF,MF,Leeds United,Premier League,28,1992,27.3,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,Matches
71,Rachid Alioui,ma,FW,,Angers,Ligue 1,28,1992,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,Matches
72,Alisson,br,GK,,Liverpool,Premier League,27,1992,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,Matches
73,Saturnin Allagbé,bj,GK,,Dijon,Ligue 1,26,1993,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,Matches
74,Allan,br,MF,,Everton,Premier League,29,1991,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,Matches
75,Dele Alli,eng,MF,,Tottenham,Premier League,24,1996,6.9,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3,Matches
76,Miguel Almirón,py,MF,FW,Newcastle Utd,Premier League,26,1994,27.0,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20,Matches
77,Marcos Alonso,es,DF,,Chelsea,Premier League,29,1990,10.7,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30,Matches
78,Sergio Álvarez,es,MF,DF,Eibar,La Liga,28,1992,17.4,42,25,13,26,3,8,22,36.4,14,22,5,17,22,64,24,Matches
79,Yeray Álvarez,es,DF,,Athletic Club,La Liga,25,1995,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73,Matches
80,Bruno Alves,pt,DF,,Parma,it Serie A,38,1981,18.1,13,10,10,3,0,7,9,77.8,2,17,12,5,26,39,81,Matches
81,Steven Alzate,co,MF,,Brighton,Premier League,21,1998,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,Matches
82,Ibrahim Amadou,fr,MF,,Angers,Ligue 1,27,1993,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25,Matches
83,Romain Amalfitano,fr,FW,DF,Dijon,Ligue 1,30,1989,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1,Matches
84,Emmanuel Amankwaa Akurugu,gh,DF,,Getafe,La Liga,18,2001,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,Matches
85,Daniel Amartey,gh,DF,,Leicester City,Premier League,25,1994,8.0,11,7,6,4,1,8,12,66.7,4,8,4,4,12,23,26,Matches
86,Jordan Amavi,fr,DF,,Marseille,Ligue 1,26,1994,9.0,11,9,9,1,1,9,12,75.0,3,12,2,10,27,38,33,Matches
87,Thierry Ambrose,gp,FW,,Metz,Ligue 1,23,1997,8.4,7,4,1,1,5,2,12,16.7,10,2,0,2,2,9,4,Matches
88,Wisdom Amey,it,DF,,Bologna,it Serie A,14,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
89,Nadiem Amiri,de,MF,,Leverkusen,Bundesliga,23,1996,21.0,12,7,4,8,0,7,33,21.2,26,18,3,15,12,24,7,Matches
90,Ethan Ampadu,wls,DF,MF,Sheffield Utd,Premier League,19,2000,23.2,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,Matches
91,Sofyan Amrabat,ma,MF,,Fiorentina,it Serie A,23,1996,27.1,39,22,11,24,4,18,48,37.5,30,30,5,25,23,62,12,Matches
92,Jon Ander Garrido,es,MF,,Cádiz,La Liga,30,1989,8.9,18,10,8,7,3,10,26,38.5,16,12,4,8,14,32,13,Matches
93,Joachim Andersen,dk,DF,,Fulham,Premier League,24,1996,30.3,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,Matches
94,Joachim Andersen,dk,DF,,Lyon,Ligue 1,24,1996,2.1,2,1,1,1,0,2,2,100.0,0,1,1,0,2,4,6,Matches
95,Djavan Anderson,nl,DF,,Lazio,it Serie A,25,1995,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,Matches
96,Elliot Anderson,eng,MF,,Newcastle Utd,Premier League,17,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
97,Felipe Anderson,br,FW,MF,West Ham,Premier League,27,1993,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,Matches
98,Sebastian Andersson,se,FW,,Köln,Bundesliga,29,1991,12.5,3,2,0,3,0,1,8,12.5,7,10,3,7,2,5,9,Matches
99,Nícolas Andrade,br,GK,,Udinese,it Serie A,32,1988,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
100,Benjamin André,fr,MF,,Lille,Ligue 1,29,1990,32.1,114,68,47,61,6,53,122,43.4,69,39,10,29,76,190,49,Matches
101,Marcos André,br,FW,,Valladolid,La Liga,23,1996,13.1,8,2,2,2,4,0,8,0.0,8,15,2,13,2,10,9,Matches
102,Robert Andrich,de,MF,,Union Berlin,Bundesliga,25,1994,28.1,51,24,22,27,2,24,53,45.3,29,40,6,34,51,102,31,Matches
103,Victorien Angban,ci,MF,,Metz,Ligue 1,23,1996,18.6,36,24,17,15,4,17,42,40.5,25,17,4,13,19,55,9,Matches
104,Ángel,es,GK,,Granada,La Liga,18,2002,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,Matches
105,José Ángel,es,DF,,Eibar,La Liga,30,1989,10.0,15,8,9,4,2,8,12,66.7,4,7,0,7,13,28,17,Matches
106,Miguel Ángel Rubio,es,DF,,Valladolid,La Liga,22,1998,1.5,0,0,0,0,0,0,0,,0,2,2,0,3,3,11,Matches
107,Angeliño,es,DF,FW,RB Leipzig,Bundesliga,23,1997,24.0,31,19,10,18,3,13,24,54.2,11,22,1,21,30,61,40,Matches
108,Davide Angelo Ghislandi,it,DF,,Atalanta,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,Matches
109,Philip Ankhrah,gh,MF,,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,Matches
110,Cristian Ansaldi,ar,DF,FW,Torino,it Serie A,33,1986,21.6,48,33,25,14,9,24,38,63.2,14,21,7,14,16,64,38,Matches
111,Waldemar Anton,de,DF,,Stuttgart,Bundesliga,24,1996,30.1,31,20,17,14,0,12,31,38.7,19,28,18,10,47,78,114,Matches
112,Michail Antonio,jm,FW,,West Ham,Premier League,30,1990,21.9,7,4,1,5,1,1,7,14.3,6,20,3,17,7,14,7,Matches
113,José Antonio Miranda,gq,MF,DF,Getafe,La Liga,22,1998,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,Matches
114,Valentin Antov,bg,DF,,Bologna,it Serie A,19,2000,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,Matches
115,Houssem Aouar,dz,MF,FW,Lyon,Ligue 1,22,1998,19.8,17,12,0,13,4,8,25,32.0,17,17,1,16,17,34,4,Matches
116,Adil Aouchiche,fr,MF,FW,Saint-Étienne,Ligue 1,18,2002,19.2,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,Matches
117,Dennis Appiah,fr,DF,,Nantes,Ligue 1,28,1992,17.3,55,34,33,15,7,32,59,54.2,27,23,6,17,25,80,43,Matches
118,Aritz Arambarri,es,DF,,Real Sociedad,La Liga,22,1998,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,Matches
119,Mauro Arambarri,uy,MF,,Getafe,La Liga,24,1995,33.1,64,39,22,35,7,23,80,28.8,57,40,5,35,42,106,28,Matches
120,Charles Aránguiz,cl,MF,,Leverkusen,Bundesliga,31,1989,18.5,41,23,16,21,4,17,43,39.5,26,32,4,28,33,74,17,Matches
121,Luiz Araújo,br,MF,,Lille,Ligue 1,24,1996,16.6,38,25,12,18,8,8,28,28.6,20,23,1,22,11,49,3,Matches
122,Néstor Araujo,mx,DF,,Celta Vigo,La Liga,28,1991,27.0,24,16,14,9,1,7,15,46.7,8,23,18,5,43,67,89,Matches
123,Ronald Araújo,uy,DF,,Barcelona,La Liga,21,1999,16.8,22,11,12,8,2,9,9,100.0,0,24,15,9,20,42,47,Matches
124,Anaitz Arbilla,es,DF,,Eibar,La Liga,33,1987,31.2,45,26,31,11,3,27,54,50.0,27,36,11,25,69,114,73,Matches
125,Alphonse Areola,fr,GK,,Fulham,Premier League,27,1993,36.0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,Matches
126,Santiago Arias,co,DF,,Leverkusen,Bundesliga,28,1992,1.0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,4,Matches
127,Karim Aribi,dz,FW,,Nîmes,Ligue 1,26,1994,3.3,2,2,0,1,1,0,5,0.0,5,1,0,1,0,2,3,Matches
128,Unai Arietaleanizbeaskoa,es,FW,MF,Eibar,La Liga,21,1999,0.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,Matches
129,Nicolò Armini,it,DF,,Lazio,it Serie A,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Matches
130,Stuart Armstrong,sct,MF,,Southampton,Premier League,28,1992,30.7,60,41,19,32,9,27,75,36.0,48,26,1,25,24,84,19,Matches
131,Maximilian Arnold,de,MF,,Wolfsburg,Bundesliga,26,1994,28.7,47,32,20,26,1,18,49,36.7,31,24,3,21,49,96,57,Matches
132,Tolu Arokodare,ng,FW,MF,Köln,Bundesliga,19,2000,1.2,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,Matches
133,Sergio Arribas,es,MF,FW,Real Madrid,La Liga,18,2001,1.5,3,1,2,1,0,1,3,33.3,2,2,0,2,4,7,2,Matches
134,Kepa Arrizabalaga,es,GK,,Chelsea,Premier League,25,1994,6.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,Matches
135,Tolgay Arslan,de,MF,,Udinese,it Serie A,29,1990,20.2,52,32,24,24,4,25,54,46.3,29,22,2,20,22,74,15,Matches
136,Kwadwo Asamoah,gh,DF,MF,Cagliari,it Serie A,31,1988,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,Matches
137,Santiago Ascacíbar,ar,MF,,Hertha BSC,Bundesliga,23,1997,8.5,30,15,15,14,1,15,28,53.6,13,23,2,21,13,43,14,Matches
138,Sergio Asenjo,es,GK,,Villarreal,La Liga,31,1989,36.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,13,Matches
139,Marco Asensio,es,FW,MF,Real Madrid,La Liga,24,1996,20.8,12,6,7,4,1,3,24,12.5,21,15,0,15,11,23,10,Matches
140,Kristoffer Askildsen,no,MF,,Sampdoria,it Serie A,19,2001,1.1,0,0,0,0,0,0,0,,0,2,0,2,3,3,3,Matches
141,Iago Aspas,es,FW,,Celta Vigo,La Liga,32,1987,31.8,11,3,2,7,2,2,23,8.7,21,25,2,23,16,27,21,Matches
142,Roger Assalé,ci,FW,MF,Dijon,Ligue 1,26,1993,9.2,10,8,3,5,2,4,12,33.3,8,7,3,4,2,12,2,Matches
143,Youcef Atal,dz,DF,FW,Nice,Ligue 1,24,1996,10.6,25,12,11,14,0,13,26,50.0,13,10,2,8,26,51,12,Matches
144,Miguel Atienza,es,MF,,Eibar,La Liga,21,1999,9.3,20,9,5,15,0,8,23,34.8,15,14,1,13,9,29,12,Matches
145,Pierre-Emerick Aubameyang,ga,FW,,Arsenal,Premier League,31,1989,25.9,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,Matches
146,Emil Audero,it,GK,,Sampdoria,it Serie A,23,1997,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,Matches
147,Tommaso Augello,it,DF,,Sampdoria,it Serie A,25,1994,35.7,42,30,27,10,5,23,39,59.0,16,22,2,20,32,74,76,Matches
148,Jean-Kévin Augustin,fr,FW,,Nantes,Ligue 1,23,1997,0.4,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,Matches
149,Ludwig Augustinsson,se,DF,FW,Werder Bremen,Bundesliga,26,1994,21.7,37,20,19,14,4,17,29,58.6,12,21,7,14,20,57,62,Matches
150,Serge Aurier,ci,DF,,Tottenham,Premier League,27,1992,17.8,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,Matches
151,Charlie Austin,eng,FW,MF,West Brom,Premier League,31,1989,1.5,4,2,1,2,1,1,3,33.3,2,0,0,0,3,7,4,Matches
152,Ezequiel Ávila,ar,FW,MF,Osasuna,La Liga,26,1994,2.2,6,2,3,1,2,2,4,50.0,2,1,0,1,1,7,0,Matches
153,Taiwo Awoniyi,ng,FW,,Union Berlin,Bundesliga,22,1997,15.1,5,3,2,3,0,1,14,7.1,13,9,0,9,3,8,4,Matches
154,Mehmet Aydin,de,DF,,Schalke 04,Bundesliga,18,2002,5.6,15,7,9,6,0,4,10,40.0,6,6,1,5,6,21,16,Matches
155,Jordan Ayew,gh,FW,MF,Crystal Palace,Premier League,28,1991,23.3,38,26,8,16,14,16,44,36.4,28,28,2,26,16,54,12,Matches
156,Kaan Ayhan,tr,DF,,Sassuolo,it Serie A,25,1994,8.8,15,9,8,5,2,8,13,61.5,5,9,5,4,16,31,33,Matches
157,Luke Ayling,eng,DF,,Leeds United,Premier League,28,1991,37.8,108,61,69,30,9,49,87,56.3,38,53,36,17,36,144,96,Matches
158,Ramon Azeez,ng,MF,,Granada,La Liga,27,1992,1.1,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,Matches
159,César Azpilicueta,es,DF,,Chelsea,Premier League,30,1989,24.3,53,28,22,24,7,19,37,51.4,18,30,5,25,28,81,62,Matches
160,Ludovic Baal,gf,DF,MF,Brest,Ligue 1,34,1986,3.3,6,5,4,1,1,2,5,40.0,3,4,1,3,5,11,5,Matches
161,Carlos Bacca,co,FW,,Villarreal,La Liga,33,1986,8.7,9,5,5,3,1,3,5,60.0,2,5,0,5,3,12,2,Matches
162,Loïc Bade,fr,DF,,Lens,Ligue 1,20,2000,29.0,57,34,47,10,0,30,55,54.5,25,43,17,26,74,131,135,Matches
163,Milan Badelj,hr,MF,,Genoa,it Serie A,31,1989,26.8,56,27,27,22,7,26,84,31.0,58,51,10,41,87,143,45,Matches
164,Édgar Badía,es,GK,,Elche,La Liga,28,1992,30.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,17,Matches
165,Benoît Badiashile,fr,DF,,Monaco,Ligue 1,19,2001,31.9,24,17,15,9,0,13,28,46.4,15,21,12,9,58,82,102,Matches
166,Alex Baena,es,MF,,Villarreal,La Liga,19,2001,1.5,4,3,1,2,1,1,3,33.3,2,1,1,0,1,5,1,Matches
167,Miguel Baeza,es,MF,FW,Celta Vigo,La Liga,20,2000,6.0,7,6,5,2,0,5,13,38.5,8,3,0,3,3,10,2,Matches
168,Stéphane Bahoken,cm,FW,,Angers,Ligue 1,28,1992,18.0,9,6,1,7,1,4,12,33.3,8,9,0,9,9,18,9,Matches
169,Leon Bailey,jm,FW,MF,Leverkusen,Bundesliga,22,1997,23.8,14,8,3,7,4,4,15,26.7,11,13,0,13,9,23,3,Matches
170,Eric Bailly,ci,DF,,Manchester Utd,Premier League,26,1994,10.2,5,5,3,1,1,0,1,0.0,1,13,11,2,13,18,36,Matches
171,Stefan Bajic,fr,GK,,Saint-Étienne,Ligue 1,18,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,Matches
172,Tiemoué Bakayoko,fr,MF,,Napoli,it Serie A,25,1994,21.8,69,41,21,41,7,23,40,57.5,17,24,2,22,36,105,13,Matches
173,Mitchel Bakker,nl,DF,,Paris S-G,Ligue 1,20,2000,18.8,38,30,15,14,9,17,26,65.4,9,22,2,20,22,60,20,Matches
174,Ridle Baku,de,FW,DF,Wolfsburg,Bundesliga,22,1998,29.8,50,31,20,20,10,22,53,41.5,31,54,4,50,40,90,33,Matches
175,Ridle Baku,de,DF,,Mainz 05,Bundesliga,22,1998,2.0,4,2,3,1,0,2,6,33.3,4,3,1,2,3,7,6,Matches
176,Dilane Bakwa,fr,FW,MF,Bordeaux,Ligue 1,17,2002,0.6,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,Matches
177,Fabián Balbuena,py,DF,,West Ham,Premier League,28,1991,13.3,24,12,23,1,0,14,23,60.9,9,23,6,17,25,49,63,Matches
178,Keita Baldé,sn,FW,,Sampdoria,it Serie A,25,1995,13.3,9,6,2,6,1,4,10,40.0,6,10,1,9,0,9,3,Matches
179,George Baldock,gr,DF,,Sheffield Utd,Premier League,27,1993,31.0,47,34,28,14,5,21,50,42.0,29,26,7,19,25,72,70,Matches
180,Gareth Bale,wls,FW,,Tottenham,Premier League,31,1989,10.2,17,10,4,9,4,7,14,50.0,7,13,2,11,8,25,16,Matches
181,Mikel Balenziaga,es,DF,,Athletic Club,La Liga,32,1988,18.8,26,15,11,12,3,9,18,50.0,9,22,7,15,7,33,46,Matches
182,Leonardo Balerdi,ar,DF,,Marseille,Ligue 1,21,1999,18.2,29,18,19,7,3,14,31,45.2,17,17,9,8,28,57,65,Matches
183,Fodé Ballo-Touré,sn,DF,,Monaco,Ligue 1,23,1997,7.4,21,17,9,11,1,6,13,46.2,7,7,0,7,6,27,11,Matches
