Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
832,Eberechi Eze,eng,MF,FW,Crystal Palace,Premier League,25,1998,22.8,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6
833,Abde Ezzalzouli,ma,FW,MF,Barcelona,La Liga,21,2001,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0
834,Abde Ezzalzouli,ma,FW,,Betis,La Liga,21,2001,9.6,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5
835,Giovanni Fabbian,it,MF,FW,Bologna,Serie A,20,2003,11.7,17,10,9,7,1,7,12,58.3,5,5,2,3,7,24,11
836,Łukasz Fabiański,pl,GK,,West Ham,Premier League,38,1985,8.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,4
837,Nicolò Fagioli,it,MF,,Juventus,Serie A,22,2001,4.9,5,3,1,3,1,3,7,42.9,4,3,0,3,4,9,1
838,Romain Faivre,fr,MF,FW,Bournemouth,Premier League,25,1998,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0
839,Romain Faivre,fr,MF,FW,Lorient,Ligue 1,25,1998,16.1,13,6,5,4,4,6,15,40.0,9,6,1,5,7,20,3
840,Ilhan Fakili,fr,MF,FW,Clermont Foot,Ligue 1,17,2006,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0
841,Radamel Falcao,co,FW,DF,Rayo Vallecano,La Liga,37,1986,4.5,7,5,1,5,1,1,3,33.3,2,2,0,2,3,10,4
842,Wladimiro Falcone,it,GK,,Lecce,Serie A,28,1995,38.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,21
843,Fali,es,DF,,Cádiz,La Liga,29,1993,28.3,41,26,29,11,1,21,36,58.3,15,38,24,14,27,68,120
844,Davide Faraoni,it,DF,,Hellas Verona,Serie A,31,1991,6.7,13,10,5,6,2,7,10,70.0,3,9,5,4,6,19,21
845,Davide Faraoni,it,DF,,Fiorentina,Serie A,31,1991,4.4,9,4,5,2,2,5,11,45.5,6,3,1,2,5,14,14
846,Ansu Fati,es,MF,FW,Brighton,Premier League,20,2002,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3
847,Ansu Fati,es,MF,FW,Barcelona,La Liga,20,2002,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0
848,Khalil Fayad,fr,FW,MF,Montpellier,Ligue 1,19,2004,11.4,28,15,17,7,4,9,22,40.9,13,15,3,12,14,42,6
849,Federico Fazio,ar,DF,,Salernitana,Serie A,36,1987,15.1,18,11,14,4,0,8,14,57.1,6,22,19,3,17,35,99
850,Jacopo Fazzini,it,MF,,Empoli,Serie A,20,2003,13.7,49,25,27,13,9,30,53,56.6,23,21,3,18,12,61,18
851,Peter Federico,do,MF,FW,Valencia,La Liga,21,2002,7.2,5,3,3,1,1,1,10,10.0,9,11,0,11,7,12,10
852,Nabil Fekir,fr,MF,FW,Betis,La Liga,30,1993,11.7,15,10,5,7,3,5,10,50.0,5,9,0,9,7,22,3
853,Felipe,br,DF,,Nott'ham Forest,Premier League,34,1989,4.2,12,9,9,3,0,9,12,75.0,3,4,1,3,4,16,12
854,Luiz Felipe,it,DF,,Betis,La Liga,26,1997,4.0,7,3,5,2,0,4,5,80.0,1,10,4,6,4,11,16
855,João Félix,pt,FW,,Barcelona,La Liga,23,1999,17.1,22,16,9,7,6,8,22,36.4,14,14,1,13,10,32,11
856,Ohis Felix Uduokhai,de,DF,,Augsburg,Bundesliga,25,1997,32.5,37,21,18,14,5,16,25,64.0,9,45,35,10,46,83,178
857,Kiko Femenía,es,DF,,Villarreal,La Liga,32,1991,17.6,35,25,19,13,3,19,34,55.9,15,21,6,15,31,66,45
858,Evan Ferguson,ie,FW,,Brighton,Premier League,18,2004,15.2,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8
859,Lewis Ferguson,sct,MF,,Bologna,Serie A,23,1999,30.1,37,21,16,17,4,16,37,43.2,21,25,8,17,17,54,27
860,Bruno Fernandes,pt,MF,FW,Manchester Utd,Premier League,28,1994,34.6,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50
861,Edimilson Fernandes,ch,DF,,Mainz 05,Bundesliga,27,1996,14.3,25,16,15,9,1,16,24,66.7,8,14,6,8,22,47,52
862,Aitor Fernández,es,GK,,Osasuna,La Liga,32,1991,6.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5
863,Álex Fernández,es,MF,,Cádiz,La Liga,30,1992,14.3,19,9,10,9,0,11,22,50.0,11,17,5,12,15,34,30
864,Carlos Fernández,es,FW,,Real Sociedad,La Liga,27,1996,4.5,11,7,3,6,2,0,2,0.0,2,4,0,4,0,11,5
865,Enzo Fernández,ar,MF,,Chelsea,Premier League,22,2001,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28
866,Raúl Fernández,es,GK,,Granada,La Liga,35,1988,3.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1
867,Valery Fernández,es,MF,FW,Girona,La Liga,23,1999,5.6,11,9,4,7,0,6,8,75.0,2,6,1,5,1,12,4
