Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
2241,Lucas Robertone,ar,MF,Almería,La Liga,26,1997,26.5,1363,1250,105,58,10,12,67,8,30,7,18,0,1107,8,18
2242,Connor Roberts,wls,DF,Burnley,Premier League,27,1995,9.1,495,406,87,13,0,2,10,74,0,0,0,0,395,2,9
2243,Andrew Robertson,sct,DF,Liverpool,Premier League,29,1994,18.8,1547,1297,240,41,0,7,184,109,90,34,53,0,1248,10,29
2244,Antonee Robinson,us,DF,Fulham,Premier League,25,1997,36.3,2054,1736,314,25,1,11,132,289,0,0,0,0,1514,4,68
2245,Jack Robinson,eng,DF,Sheffield Utd,Premier League,29,1993,32.1,1254,1044,205,32,1,7,12,173,0,0,0,0,894,5,21
2246,Marc Roca,es,MF,Betis,La Liga,26,1996,22.0,1193,1118,69,59,1,14,25,4,6,2,2,0,997,6,13
2247,Sebastian Rode,de,MF,Eint Frankfurt,Bundesliga,32,1990,0.7,57,56,1,0,0,0,1,1,0,0,0,0,44,0,0
2248,Sergio Rodelas,es,"FW,DF",Granada,La Liga,18,2004,1.4,33,30,2,0,0,0,4,2,0,0,0,0,27,1,1
2249,Rodri,es,MF,Manchester City,Premier League,27,1996,32.6,3656,3572,79,69,15,36,12,6,3,0,0,0,3365,5,22
2250,Rodri,es,"FW,MF",Betis,La Liga,23,2000,11.7,570,544,23,5,6,1,36,13,5,5,0,0,449,3,21
2251,Álvaro Rodríguez,uy,FW,Real Madrid,La Liga,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2252,Óscar Rodríguez Arnaiz,es,"MF,FW",Getafe,La Liga,25,1998,10.7,442,418,23,6,3,8,17,3,11,3,4,0,333,1,15
2253,Damián Rodríguez,es,MF,Celta Vigo,La Liga,20,2003,2.9,213,196,17,7,0,0,9,0,10,4,2,0,191,0,2
2254,Dani Rodríguez,es,MF,Mallorca,La Liga,35,1988,29.1,1010,827,170,53,9,8,169,9,90,29,37,5,693,13,18
2255,Guido Rodríguez,ar,MF,Betis,La Liga,29,1994,20.5,1042,998,41,40,1,21,6,1,0,0,0,0,888,3,19
2256,Jay Rodriguez,eng,FW,Burnley,Premier League,34,1989,9.1,216,216,0,0,1,4,1,0,0,0,0,0,142,0,4
2257,Kirian Rodríguez,es,MF,Las Palmas,La Liga,27,1996,35.7,3062,2929,114,101,16,10,26,4,6,1,0,0,2705,19,29
2258,Miguel Rodríguez,es,MF,Celta Vigo,La Liga,20,2003,3.3,116,101,12,3,0,1,11,7,2,1,0,0,82,3,2
2259,Ricardo Rodríguez,ch,DF,Torino,it Serie A,30,1992,30.8,1677,1566,108,28,1,11,57,51,15,11,4,0,1401,3,14
2260,Rodrygo,br,FW,Real Madrid,La Liga,22,2001,26.4,1007,961,42,6,3,1,32,10,13,1,6,0,883,4,17
2261,Mads Roerslev,dk,DF,Brentford,Premier League,24,1999,22.1,742,664,74,3,1,3,62,71,0,0,0,0,496,4,29
2262,Rogério,br,DF,Wolfsburg,Bundesliga,25,1998,10.1,552,441,111,13,0,5,27,98,0,0,0,0,455,0,12
2263,Morgan Rogers,eng,"MF,FW",Aston Villa,Premier League,21,2002,7.1,195,182,10,0,2,2,2,2,0,0,0,0,147,3,7
2264,Merlin Röhl,de,"MF,FW",Freiburg,Bundesliga,21,2002,16.4,458,454,4,4,1,2,16,0,0,0,0,0,365,0,14
2265,Alessio Romagnoli,it,DF,Lazio,it Serie A,28,1995,26.8,1759,1625,128,57,1,3,1,2,0,0,0,0,1604,6,3
2266,Simone Romagnoli,it,DF,Frosinone,it Serie A,33,1990,30.2,1421,1256,165,76,0,1,1,0,0,0,0,0,1221,0,9
2267,Carlos Romero,es,DF,Villarreal,La Liga,21,2001,2.9,164,130,33,0,0,1,11,33,0,0,0,0,113,1,9
2268,Cristian Romero,ar,DF,Tottenham,Premier League,25,1998,31.0,2606,2456,147,123,6,4,3,14,0,0,0,0,2390,3,24
2269,Isaac Romero,es,FW,Sevilla,La Liga,23,2000,11.5,209,187,17,0,1,1,12,0,0,0,0,0,146,5,11
2270,Luka Romero,ar,"FW,MF",Milan,it Serie A,18,2004,1.0,39,37,2,0,0,0,2,1,1,1,0,0,33,0,1
2271,Luka Romero,ar,FW,Almería,La Liga,18,2004,4.9,148,145,3,2,0,0,2,1,0,0,0,0,137,0,0
2272,Oriol Romeu,es,MF,Barcelona,La Liga,31,1991,10.4,806,793,13,12,4,7,6,1,0,0,0,0,717,0,9
2273,Valentin Rongier,fr,MF,Marseille,Ligue 1,28,1994,9.5,577,557,19,17,8,7,3,2,0,0,0,0,504,1,6
2274,Frank Ronstadt,de,"DF,MF",Darmstadt 98,Bundesliga,26,1997,0.8,42,39,3,0,0,0,2,3,0,0,0,0,35,0,1
2275,Marten de Roon,nl,"MF,DF",Atalanta,it Serie A,32,1991,28.9,1712,1636,74,60,5,22,16,13,0,0,0,0,1446,2,17
2276,Unai Ropero,es,MF,Alavés,La Liga,21,2001,0.1,5,3,1,0,0,0,0,0,1,0,0,0,4,1,0
2277,Vitor Roque,br,FW,Barcelona,La Liga,18,2005,3.6,67,65,1,0,0,0,2,0,0,0,0,0,49,1,6
2278,Pablo Rosario,nl,"MF,DF",Nice,Ligue 1,26,1997,22.3,1187,1103,81,32,5,0,6,49,0,0,0,0,1056,3,15
2279,Valentin Rosier,fr,"DF,MF",Nice,Ligue 1,26,1996,0.6,33,27,6,1,0,0,0,5,0,0,0,0,28,0,0
2280,Francesco Rossi,it,GK,Atalanta,it Serie A,32,1991,0.1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2281,Joe Rothwell,eng,MF,Bournemouth,Premier League,28,1995,4.3,216,194,20,11,0,1,12,0,8,6,0,1,179,2,3
2282,Anthony Rouault,fr,DF,Stuttgart,Bundesliga,22,2001,11.2,931,881,49,17,2,5,3,28,0,0,0,0,824,1,12
2283,Jérôme Roussillon,fr,DF,Union Berlin,Bundesliga,30,1993,8.4,355,266,87,7,0,2,21,80,0,0,0,0,263,2,7
2284,Nicolò Rovella,it,MF,Lazio,it Serie A,21,2001,14.6,976,925,48,30,2,7,20,2,16,2,11,0,851,3,18
2285,Amir Rrahmani,xk,DF,Napoli,it Serie A,29,1994,28.9,2255,2153,97,72,0,45,4,6,0,0,0,0,2028,5,8
2286,Ruan,br,DF,Sassuolo,it Serie A,24,1999,16.8,698,636,62,33,0,1,2,17,0,0,0,0,593,0,10
2287,Pelly Ruddock Mpanzu,cd,MF,Luton Town,Premier League,30,1993,12.2,364,338,24,7,0,7,11,8,2,0,0,0,268,2,13
2288,Antonio Rüdiger,de,DF,Real Madrid,La Liga,30,1993,30.1,1815,1761,50,30,3,10,4,9,0,0,0,0,1630,4,9
2289,Fabian Rüdlin,de,MF,Freiburg,Bundesliga,26,1997,0.1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
2290,Javier Rueda Garcia,es,"MF,DF",Celta Vigo,La Liga,21,2002,0.2,16,13,3,0,0,0,0,3,0,0,0,0,14,0,0
2291,Daniele Rugani,it,DF,Juventus,it Serie A,29,1994,13.2,636,611,24,8,0,4,1,1,0,0,0,0,564,1,4
2292,Matteo Ruggeri,it,DF,Atalanta,it Serie A,21,2002,27.2,1562,1343,218,8,0,9,101,200,10,1,4,0,1250,1,33
2293,Mário Rui,pt,DF,Napoli,it Serie A,32,1991,13.4,1068,906,162,40,2,11,62,106,16,0,15,0,860,0,16
2294,Aitor Ruibal,es,"DF,FW",Betis,La Liga,27,1996,11.3,586,490,95,11,0,4,28,84,0,0,0,0,445,1,27
2295,Fabián Ruiz Peña,es,MF,Paris S-G,Ligue 1,27,1996,13.3,872,843,29,21,0,4,11,1,2,2,0,0,778,0,12
2296,Sergio Ruiz,es,MF,Granada,La Liga,28,1994,27.7,1283,1231,46,35,3,11,17,3,6,2,2,0,1080,6,19
