Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
596,Benoît Costil,fr,GK,,Auxerre,Ligue 1,35,1987,19.0,593,373,218,81,0,3,0,0,0,0,0,0,414,2,0
597,Vladimír Coufal,cz,DF,,West Ham,Premier League,29,1992,23.7,1174,907,260,16,0,0,113,244,0,0,0,0,730,7,47
598,Lassana Coulibaly,ml,MF,,Salernitana,Serie A,26,1996,32.1,1174,1149,23,20,3,5,10,3,0,0,0,0,978,2,26
599,Soumaïla Coulibaly,fr,DF,,Dortmund,Bundesliga,18,2003,0.5,46,46,0,0,0,0,0,0,0,0,0,0,45,0,1
600,Tanguy Coulibaly,fr,FW,DF,Stuttgart,Bundesliga,21,2001,3.6,141,126,14,3,0,1,10,10,1,1,0,0,98,1,13
601,Thibaut Courtois,be,GK,,Real Madrid,La Liga,30,1992,31.0,1136,942,192,40,0,3,0,0,0,0,0,0,980,2,1
602,Mathieu Coutadeur,fr,MF,,Ajaccio,Ligue 1,36,1986,21.6,1197,1133,59,57,6,7,5,2,0,0,0,0,1006,5,15
603,Philippe Coutinho,br,MF,FW,Aston Villa,Premier League,30,1992,8.8,384,352,30,13,5,1,19,5,6,3,1,0,288,2,7
604,Yan Couto,br,DF,MF,Girona,La Liga,20,2002,12.9,598,525,72,5,0,5,63,66,1,1,0,0,444,1,17
605,Conor Coventry,ie,MF,FW,West Ham,Premier League,22,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Nicolas Cozza,fr,DF,,Montpellier,Ligue 1,23,1999,14.2,592,498,90,8,1,2,14,82,0,0,0,0,429,4,16
607,Nicolas Cozza,fr,DF,,Wolfsburg,Bundesliga,23,1999,1.1,44,41,3,1,0,0,0,2,0,0,0,0,33,0,0
608,Alessio Cragno,it,GK,,Monza,Serie A,28,1994,1.0,31,24,7,1,0,0,0,0,0,0,0,0,29,0,0
609,Matthew Craig,sct,MF,,Tottenham,Premier League,19,2003,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
610,Aaron Cresswell,eng,DF,,West Ham,Premier League,32,1989,24.8,1448,1157,288,40,1,5,133,192,56,5,44,1,1127,3,35
611,Bryan Cristante,it,MF,DF,Roma,Serie A,27,1995,32.6,1679,1611,63,60,6,31,11,3,0,0,0,0,1381,5,19
612,Domen Črnigoj,si,MF,,Salernitana,Serie A,26,1995,3.3,111,110,1,1,0,0,0,0,0,0,0,0,79,0,4
613,Juan Cruz Armada,es,DF,,Osasuna,La Liga,30,1992,22.9,985,791,188,16,0,1,35,168,0,0,0,0,746,6,21
614,Juan Cruz,es,FW,,Betis,La Liga,22,2000,2.0,39,38,1,1,0,0,6,0,0,0,0,0,25,0,2
615,Juan Cuadrado,co,DF,FW,Juventus,Serie A,34,1988,23.1,1323,1126,193,29,0,28,83,128,36,12,21,0,1113,4,17
616,Marc Cucurella,es,DF,,Chelsea,Premier League,24,1998,18.6,1293,1093,192,28,0,2,44,151,13,8,3,0,1090,8,26
617,Jorge Cuenca,es,DF,,Villarreal,La Liga,22,1999,5.6,384,366,17,9,1,7,1,2,0,0,0,0,334,1,3
618,Braian Cufré,ar,DF,,Mallorca,La Liga,25,1996,2.4,92,67,24,1,0,1,1,23,0,0,0,0,76,1,2
619,Mickaël Cuisance,fr,MF,,Sampdoria,Serie A,22,1999,6.9,223,201,22,10,3,5,20,3,7,4,3,0,176,0,6
620,Matheus Cunha,br,FW,,Wolves,Premier League,23,1999,10.7,234,214,19,1,1,0,8,3,0,0,0,0,171,1,7
621,Matheus Cunha,br,FW,MF,Atlético Madrid,La Liga,23,1999,4.2,85,77,6,0,1,1,3,1,0,0,0,0,64,2,3
622,Curro,es,MF,,Almería,La Liga,26,1996,0.5,28,24,3,1,0,0,1,0,2,0,1,0,21,1,1
623,Marco D'Alessandro,it,DF,FW,Monza,Serie A,31,1991,3.2,115,100,14,2,0,0,13,12,0,0,0,0,79,1,3
624,Danilo D'Ambrosio,it,DF,,Inter,Serie A,33,1988,8.1,557,530,26,13,0,2,9,13,0,0,0,0,493,1,2
625,Luca D'Andrea,it,FW,,Sassuolo,Serie A,17,2004,3.5,84,80,4,0,1,0,7,1,3,0,0,0,61,0,1
626,Damien Da Silva,fr,DF,,Lyon,Ligue 1,34,1988,3.8,254,238,16,2,0,3,2,14,0,0,0,0,217,0,3
627,Moanes Dabbur,il,FW,,Hoffenheim,Bundesliga,30,1992,10.4,287,277,9,0,1,1,6,3,0,0,0,0,204,1,8
628,Andréa Dacourt,fr,MF,,Nice,Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,Colin Dagba,fr,DF,MF,Strasbourg,Ligue 1,23,1998,10.6,496,395,99,5,0,0,35,93,1,0,0,0,401,2,14
630,Finn Dahmen,de,GK,,Mainz 05,Bundesliga,24,1998,8.0,280,203,77,23,0,0,0,0,0,0,0,0,185,0,0
631,Mahmoud Dahoud,de,MF,,Dortmund,Bundesliga,26,1996,3.7,259,253,4,2,1,1,3,0,2,0,2,0,213,2,7
632,Patson Daka,zm,FW,,Leicester City,Premier League,23,1998,13.2,295,264,29,0,5,0,8,10,0,0,0,0,195,2,11
633,Thijs Dallinga,nl,FW,,Toulouse,Ligue 1,21,2000,26.1,522,516,4,0,0,4,18,2,0,0,0,0,327,2,32
634,Diogo Dalot,pt,DF,,Manchester Utd,Premier League,23,1999,23.9,1441,1216,219,17,3,20,44,202,0,0,0,0,1141,6,35
635,Muhammed Damar,de,MF,,Hoffenheim,Bundesliga,18,2004,1.8,65,63,1,0,0,0,2,1,0,0,0,0,52,1,2
636,Mikkel Damsgaard,dk,MF,FW,Brentford,Premier League,22,2000,11.0,407,387,14,8,5,2,29,1,2,1,1,0,275,6,12
637,Flavius Daniliuc,at,DF,,Salernitana,Serie A,21,2001,24.4,1127,1078,46,37,0,10,0,9,0,0,0,0,969,3,11
638,Flavius Daniliuc,at,DF,,Nice,Ligue 1,21,2001,1.0,63,50,13,2,0,1,2,11,0,0,0,0,57,0,1
639,Danilo,br,MF,,Nott'ham Forest,Premier League,21,2001,10.8,235,225,7,0,2,1,3,2,0,0,0,0,148,3,18
640,Danilo,br,DF,,Juventus,Serie A,31,1991,35.4,2225,2015,202,56,4,18,18,127,0,0,0,0,1884,8,19
641,Arnaut Danjuma,nl,FW,MF,Tottenham,Premier League,25,1997,1.9,56,56,0,0,0,0,2,0,0,0,0,0,39,0,4
642,Arnaut Danjuma,nl,FW,,Villarreal,La Liga,25,1997,5.3,95,83,12,1,0,0,6,2,2,0,0,0,70,0,1
643,Kévin Danois,fr,MF,,Auxerre,Ligue 1,18,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
644,Kevin Danso,at,DF,,Lens,Ligue 1,23,1998,35.9,2336,2230,106,79,1,1,0,7,0,0,0,0,2103,0,11
645,Dante,br,DF,,Nice,Ligue 1,38,1983,36.7,2643,2550,88,69,4,12,2,9,0,0,0,0,2376,5,14
646,Márton Dárdai,hu,DF,MF,Hertha BSC,Bundesliga,20,2002,10.5,378,359,17,14,1,7,1,2,1,1,0,0,225,2,6
647,Sergi Darder,es,MF,,Espanyol,La Liga,28,1993,36.9,1628,1381,237,109,14,19,181,11,93,39,37,3,1181,10,40
648,Achraf Dari,ma,DF,,Brest,Ligue 1,23,1999,14.6,690,661,27,27,0,7,1,0,0,0,0,0,547,2,4
649,Vladimír Darida,cz,MF,,Hertha BSC,Bundesliga,31,1990,0.3,12,10,2,1,0,0,0,0,1,0,0,0,8,0,0
650,Matteo Darmian,it,DF,,Inter,Serie A,32,1989,22.5,1376,1246,127,18,2,16,28,109,0,0,0,0,1190,3,17
651,Josh Dasilva,eng,MF,,Brentford,Premier League,23,1998,15.4,617,591,25,8,1,1,33,11,6,4,0,0,491,1,17
652,David Datro Fofana,ci,FW,,Chelsea,Premier League,19,2002,0.8,9,9,0,0,1,0,1,0,0,0,0,0,7,0,0
653,Juan David Cabal,co,DF,,Hellas Verona,Serie A,21,2001,4.9,223,209,14,7,0,7,8,7,0,0,0,0,166,0,7
654,Jonathan David,ca,FW,,Lille,Ligue 1,22,2000,35.2,875,817,52,1,6,1,7,5,0,0,0,0,716,6,32
655,Alphonso Davies,ca,DF,,Bayern Munich,Bundesliga,21,2000,22.7,1567,1378,181,26,2,9,25,155,0,0,0,0,1361,8,22
656,Ben Davies,wls,DF,,Tottenham,Premier League,29,1993,25.4,1281,1190,87,27,1,8,35,60,0,0,0,0,1040,4,22
657,Tom Davies,eng,MF,,Everton,Premier League,24,1998,6.0,234,227,6,5,3,3,2,1,0,0,0,0,173,1,6
658,Paweł Dawidowicz,pl,DF,,Hellas Verona,Serie A,27,1995,18.1,827,756,70,31,1,1,13,39,0,0,0,0,613,1,11
659,Craig Dawson,eng,DF,,West Ham,Premier League,32,1990,8.0,310,299,9,8,0,2,2,1,0,0,0,0,245,2,3
660,Craig Dawson,eng,DF,,Wolves,Premier League,32,1990,15.7,926,897,27,22,0,4,0,5,0,0,0,0,780,2,3
661,Kevin De Bruyne,be,MF,,Manchester City,Premier League,31,1991,26.9,1626,1454,160,53,28,27,226,31,72,20,32,6,1192,12,41
662,Charles De Ketelaere,be,MF,FW,Milan,Serie A,21,2001,12.4,383,362,21,2,2,2,10,9,0,0,0,0,299,0,13
663,Manuel De Luca,it,FW,MF,Sampdoria,Serie A,24,1998,0.5,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
664,Tommaso De Nipoti,it,MF,,Atalanta,Serie A,19,2003,0.0,5,5,0,0,0,1,0,0,0,0,0,0,3,0,0
665,Rodrigo De Paul,ar,MF,,Atlético Madrid,La Liga,28,1994,21.4,1421,1335,74,47,17,32,47,15,8,2,4,0,1160,12,27
666,Mattia De Sciglio,it,DF,,Juventus,Serie A,29,1992,11.6,569,475,93,7,0,6,26,86,0,0,0,0,450,1,4
667,Lorenzo De Silvestri,it,DF,,Bologna,Serie A,34,1988,7.5,430,352,78,6,1,1,7,72,0,0,0,0,330,0,6
668,Thibault De Smet,be,DF,,Reims,Ligue 1,24,1998,19.5,1123,918,198,7,0,1,48,187,4,0,2,0,878,7,23
669,Koni De Winter,be,DF,,Empoli,Serie A,20,2002,11.4,494,473,21,13,0,0,0,1,0,0,0,0,424,0,2
670,Grégoire Defrel,mq,FW,,Sassuolo,Serie A,31,1991,13.0,250,219,31,0,1,1,1,1,2,1,0,0,211,0,5
671,Duccio Degl'Innocenti,it,MF,,Empoli,Serie A,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,Brecht Dejaegere,be,MF,,Toulouse,Ligue 1,31,1991,20.1,664,619,40,2,5,3,19,8,1,1,0,0,518,5,18
673,Romain Del Castillo,fr,MF,FW,Brest,Ligue 1,26,1996,15.8,673,580,89,24,8,4,101,20,42,19,23,0,448,4,15
674,Alberto Del Moral,es,MF,,Villarreal,La Liga,22,2000,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
675,Thomas Delaine,fr,DF,MF,Strasbourg,Ligue 1,30,1992,11.9,537,432,104,4,1,1,66,100,0,0,0,0,356,1,24
676,Thomas Delaney,dk,MF,,Sevilla,La Liga,30,1991,3.4,164,159,4,3,0,1,4,1,0,0,0,0,140,1,1
677,Thomas Delaney,dk,MF,,Hoffenheim,Bundesliga,30,1991,3.3,162,156,6,6,0,2,3,0,0,0,0,0,110,0,6
678,Sacha Delaye,fr,FW,MF,Montpellier,Ligue 1,20,2002,0.2,14,12,2,0,0,0,0,2,0,0,0,0,8,0,1
679,Fran Delgado,es,DF,,Betis,La Liga,21,2001,0.1,8,7,1,0,0,0,1,1,0,0,0,0,7,0,0
680,Andy Delort,dz,FW,,Nice,Ligue 1,30,1991,8.7,230,211,17,1,1,2,15,0,0,0,0,0,139,2,4
681,Andy Delort,dz,FW,,Nantes,Ligue 1,30,1991,5.2,138,127,10,0,0,1,17,2,1,0,1,0,73,1,3
682,Karamoko Dembélé,eng,FW,MF,Brest,Ligue 1,19,2003,2.0,89,76,12,4,0,0,14,3,5,1,2,0,59,1,3
683,Moussa Dembélé,fr,FW,MF,Lyon,Ligue 1,26,1996,9.7,191,176,15,0,0,0,2,1,0,0,0,0,138,0,10
684,Ousmane Dembélé,fr,FW,,Barcelona,La Liga,25,1997,15.7,854,768,80,7,13,4,106,8,65,17,19,1,642,6,38
685,Siriki Dembélé,ci,FW,MF,Bournemouth,Premier League,25,1996,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1
686,Siriki Dembélé,ci,MF,FW,Auxerre,Ligue 1,25,1996,4.1,97,94,3,1,0,0,6,1,1,1,0,0,78,0,3
687,Merih Demiral,tr,DF,,Atalanta,Serie A,24,1998,17.1,653,587,66,41,0,3,2,2,0,0,0,0,560,0,1
688,Kerem Demirbay,de,MF,,Leverkusen,Bundesliga,29,1993,17.2,1069,940,124,56,3,8,90,7,55,29,20,0,827,5,19
689,Ermedin Demirović,ba,FW,MF,Augsburg,Bundesliga,24,1998,26.3,533,501,27,0,2,2,19,5,0,0,0,0,268,5,32
690,Diego Demme,de,MF,,Napoli,Serie A,30,1991,1.6,191,187,4,4,0,0,0,0,0,0,0,0,181,0,1
691,Sepp van den Berg,nl,DF,,Schalke 04,Bundesliga,20,2001,7.7,334,319,14,9,0,3,0,5,0,0,0,0,277,1,0
692,Branco van den Boomen,nl,MF,,Toulouse,Ligue 1,27,1995,32.1,2214,1891,310,89,12,70,282,21,169,58,101,0,1684,13,37
693,Leander Dendoncker,be,MF,,Aston Villa,Premier League,27,1995,7.7,284,278,5,4,0,0,2,1,0,0,0,0,248,1,5
694,Leander Dendoncker,be,MF,,Wolves,Premier League,27,1995,2.4,99,96,3,3,0,2,1,0,0,0,0,0,86,0,5
695,Emmanuel Dennis,ng,FW,MF,Nott'ham Forest,Premier League,24,1997,8.0,183,178,4,0,0,0,11,3,0,0,0,0,124,1,14
696,Fabio Depaoli,it,DF,,Hellas Verona,Serie A,25,1997,24.1,685,499,183,5,1,2,60,176,2,1,1,0,440,3,17
697,Fabio Depaoli,it,DF,MF,Sampdoria,Serie A,25,1997,1.5,95,75,20,1,1,0,8,19,0,0,0,0,74,0,1
698,Kastriot Dermaku,al,DF,,Lecce,Serie A,30,1992,0.4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
699,Halil Dervişoğlu,tr,MF,,Brentford,Premier League,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700,Rémy Descamps,fr,GK,,Nantes,Ligue 1,26,1996,1.0,26,18,8,2,0,0,0,0,0,0,0,0,22,0,0
701,Mikkel Desler,dk,DF,,Toulouse,Ligue 1,27,1995,25.1,1573,1338,230,22,1,2,42,208,0,0,0,0,1336,5,36
702,Cyriel Dessers,ng,FW,,Cremonese,Serie A,27,1994,17.6,280,250,29,0,1,1,8,3,0,0,0,0,180,1,9
703,Sergiño Dest,us,DF,,Milan,Serie A,21,2000,3.7,198,154,44,1,0,1,4,43,0,0,0,0,169,0,5
704,Mattia Destro,it,FW,MF,Empoli,Serie A,31,1991,6.4,79,74,5,0,0,0,2,0,0,0,0,0,44,0,5
705,Gerard Deulofeu,es,FW,,Udinese,Serie A,28,1994,13.5,588,475,110,27,1,0,59,14,43,20,14,0,443,3,14
706,Kiernan Dewsbury-Hall,eng,MF,,Leicester City,Premier League,23,1998,25.6,1154,1120,24,9,9,20,46,3,7,7,0,0,872,10,26
707,Samuel Di Carmine,it,FW,MF,Cremonese,Serie A,33,1988,0.3,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0
708,Federico Di Francesco,it,FW,MF,Lecce,Serie A,28,1994,22.6,511,466,42,2,7,3,45,11,29,0,2,0,340,3,24
709,Michele Di Gregorio,it,GK,,Monza,Serie A,25,1997,37.0,1515,1162,350,103,0,9,0,0,0,0,0,0,1151,3,0
710,Giovanni Di Lorenzo,it,DF,,Napoli,Serie A,28,1993,36.2,2687,2311,366,58,5,25,88,304,2,0,0,0,2272,10,61
711,Ángel Di María,ar,FW,MF,Juventus,Serie A,34,1988,15.1,675,571,97,29,7,14,97,16,44,16,25,0,487,7,21
712,Boulaye Dia,sn,FW,MF,Salernitana,Serie A,25,1996,28.0,589,566,20,0,2,7,6,3,0,0,0,0,449,3,30
713,Moussa Diaby,fr,FW,MF,Leverkusen,Bundesliga,23,1999,30.0,1003,938,57,6,12,5,95,28,13,4,5,0,741,8,31
714,Mouctar Diakhaby,gn,DF,,Valencia,La Liga,25,1996,27.2,1185,1141,42,37,0,12,1,1,0,0,0,0,971,2,6
715,Mamadou Diakhon,fr,FW,,Reims,Ligue 1,16,2005,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
716,Bafodé Diakité,fr,DF,,Lille,Ligue 1,21,2001,29.5,1944,1657,285,47,0,5,19,237,0,0,0,0,1728,2,26
717,Ibrahim Diakité,gn,DF,,Reims,Ligue 1,18,2003,1.5,68,48,20,1,0,0,7,19,0,0,0,0,48,0,2
718,Abdou Diallo,sn,DF,MF,RB Leipzig,Bundesliga,26,1996,5.3,381,365,15,13,1,3,1,2,0,0,0,0,323,1,2
719,Baila Diallo,fr,DF,MF,Clermont Foot,Ligue 1,21,2001,1.0,47,32,15,0,0,0,5,15,0,0,0,0,32,0,2
720,Habib Diallo,sn,FW,,Strasbourg,Ligue 1,27,1995,32.0,597,575,17,1,7,4,7,0,0,0,0,0,397,5,31
721,Ibrahima Diallo,fr,MF,,Southampton,Premier League,23,1999,9.1,402,395,7,7,0,2,4,0,0,0,0,0,317,0,9
722,Ismael Diallo,ci,DF,,Ajaccio,Ligue 1,25,1997,24.2,1078,882,193,11,4,5,35,182,0,0,0,0,804,3,25
723,Habib Diarra,sn,MF,FW,Strasbourg,Ligue 1,18,2004,18.1,660,628,32,3,3,3,48,20,1,0,0,0,506,0,13
724,Mamady Diarra,ml,MF,DF,Cádiz,La Liga,22,2000,0.7,9,9,0,0,0,0,0,0,0,0,0,0,8,0,1
725,Moussa Diarra,ml,DF,,Toulouse,Ligue 1,21,2000,13.6,646,552,89,21,0,5,13,68,0,0,0,0,537,5,15
726,Stéphane Diarra,fr,FW,MF,Lorient,Ligue 1,23,1998,11.8,328,313,15,1,0,0,15,10,4,2,0,0,240,0,15
727,Youba Diarra,ml,MF,,Cádiz,La Liga,24,1998,1.1,49,49,0,0,1,0,0,0,0,0,0,0,40,0,1
728,Rúben Dias,pt,DF,,Manchester City,Premier League,25,1997,22.2,2080,2029,51,38,1,6,1,7,0,0,0,0,1928,0,7
729,Krépin Diatta,sn,MF,FW,Monaco,Ligue 1,23,1999,23.0,771,746,19,1,0,2,54,18,0,0,0,0,581,6,21
730,Mory Diaw,sn,GK,,Clermont Foot,Ligue 1,29,1993,37.0,1467,1034,430,175,0,8,0,0,0,0,0,0,1034,3,1
731,Brahim Díaz,ma,MF,FW,Milan,Serie A,22,1999,21.4,719,677,37,8,11,2,20,9,6,0,4,0,575,5,24
732,Luis Díaz,co,FW,,Liverpool,Premier League,25,1997,11.1,462,453,7,0,0,7,8,6,1,0,0,0,376,2,15
733,Justin Diehl,de,MF,FW,Köln,Bundesliga,17,2004,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
734,Bamba Dieng,sn,FW,MF,Marseille,Ligue 1,22,2000,2.2,43,39,4,0,0,0,1,0,0,0,0,0,27,0,1
735,Bamba Dieng,sn,FW,,Lorient,Ligue 1,22,2000,8.3,141,135,6,0,1,0,5,2,0,0,0,0,106,0,9
736,Eric Dier,eng,DF,,Tottenham,Premier League,28,1994,31.3,2001,1929,68,58,2,17,11,8,0,0,0,0,1708,4,15
737,Florian Dietz,de,FW,,Köln,Bundesliga,23,1998,4.4,76,66,9,0,0,0,4,2,0,0,0,0,39,1,3
738,Lucas Digne,fr,DF,,Aston Villa,Premier League,29,1993,16.7,927,749,177,23,0,4,77,142,12,5,4,0,696,1,23
739,Federico Dimarco,it,DF,,Inter,Serie A,24,1997,23.0,1257,1035,220,39,0,21,207,116,60,16,36,0,925,2,21
740,Stole Dimitrievski,mk,GK,,Rayo Vallecano,La Liga,28,1993,36.9,1124,717,398,99,0,4,0,0,0,0,0,0,690,9,1
741,Junior Dina Ebimbe,fr,DF,MF,Eint Frankfurt,Bundesliga,21,2000,11.8,505,448,53,3,2,0,8,50,0,0,0,0,366,4,9
742,Tristan Dingomé,cm,MF,,Troyes,Ligue 1,31,1991,1.1,78,68,9,2,0,0,5,2,5,2,1,0,55,1,1
743,Eren Dinkçi,de,FW,MF,Werder Bremen,Bundesliga,20,2001,2.6,77,68,7,0,0,1,4,5,0,0,0,0,50,2,1
744,Sinaly Diomande,ci,DF,,Lyon,Ligue 1,21,2001,21.7,1468,1369,98,43,0,2,2,53,0,0,0,0,1257,1,18
745,Lois Diony,fr,FW,,Angers,Ligue 1,29,1992,5.6,142,127,15,0,0,1,3,2,0,0,0,0,109,0,3
746,Edan Diop,fr,DF,FW,Monaco,Ligue 1,17,2004,2.5,121,113,6,1,1,0,7,5,0,0,0,0,89,2,5
747,Issa Diop,fr,DF,,Fulham,Premier League,25,1997,22.4,1399,1352,46,41,0,8,2,1,0,0,0,0,1216,1,8
748,Sofiane Diop,fr,MF,FW,Nice,Ligue 1,22,2000,13.6,703,655,47,11,6,11,44,7,28,12,8,0,556,1,15
749,Sofiane Diop,fr,MF,,Monaco,Ligue 1,22,2000,0.7,33,26,7,1,0,0,7,0,6,4,2,0,20,0,1
750,Yehvann Diouf,fr,GK,,Reims,Ligue 1,22,1999,31.0,1063,813,246,61,0,5,0,0,0,0,0,0,851,4,0
751,Axel Disasi,fr,DF,,Monaco,Ligue 1,24,1998,37.0,1957,1882,71,50,2,25,14,21,0,0,0,0,1630,4,17
752,Tiago Djaló,pt,DF,,Lille,Ligue 1,22,2000,22.4,1599,1511,84,36,0,3,3,20,0,0,0,0,1481,4,11
753,Djené,tg,DF,,Getafe,La Liga,30,1991,31.6,1154,1094,52,31,1,4,23,21,0,0,0,0,884,8,21
754,Moussa Djenepo,ml,DF,FW,Southampton,Premier League,24,1998,7.9,244,216,27,3,0,2,12,24,0,0,0,0,179,1,11
755,Koffi Djidji,ci,DF,,Torino,Serie A,29,1992,26.9,1441,1408,30,15,1,10,13,14,0,0,0,0,1249,3,20
756,Alexander Djiku,gh,DF,,Strasbourg,Ligue 1,27,1994,29.7,1507,1431,72,56,0,20,6,9,0,0,0,0,1215,4,13
757,Berat Djimsiti,al,DF,,Atalanta,Serie A,29,1993,20.0,1093,1047,45,29,0,3,0,15,0,0,0,0,953,1,8
758,Moussa Djitte,sn,FW,,Ajaccio,Ligue 1,22,1999,1.5,32,32,0,0,0,0,0,0,0,0,0,0,24,0,1
759,Ouparine Djoco,gw,GK,,Clermont Foot,Ligue 1,24,1998,1.0,40,28,12,2,0,0,0,0,0,0,0,0,26,0,0
760,Marko Dmitrović,rs,GK,,Sevilla,La Liga,30,1992,14.1,508,330,173,42,0,1,0,0,0,0,0,0,271,5,2
761,Alan Do Marcolino,ga,FW,,Rennes,Ligue 1,20,2002,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
762,Ben Doak,sct,FW,,Liverpool,Premier League,16,2005,0.3,14,14,0,0,0,0,0,0,0,0,0,0,10,0,1
763,Ritsu Doan,jp,MF,FW,Freiburg,Bundesliga,24,1998,26.9,625,616,5,1,4,5,30,1,3,1,2,0,437,4,33
764,Dodô,br,DF,,Fiorentina,Serie A,23,1998,25.9,1504,1272,229,21,2,8,61,208,0,0,0,0,1222,3,28
765,Danilho Doekhi,nl,DF,,Union Berlin,Bundesliga,24,1998,24.6,955,932,23,15,0,4,10,2,0,0,0,0,756,0,13
766,Matt Doherty,ie,DF,MF,Tottenham,Premier League,30,1992,7.4,408,345,61,2,0,1,18,59,0,0,0,0,329,2,8
767,Matt Doherty,ie,DF,,Atlético Madrid,La Liga,30,1992,0.2,9,7,2,1,0,0,0,1,0,0,0,0,6,0,0
768,Josh Doig,sct,DF,,Hellas Verona,Serie A,20,2002,15.0,534,412,119,1,0,0,46,116,2,2,0,0,360,3,21
769,Jeremy Doku,be,MF,FW,Rennes,Ligue 1,20,2002,14.3,521,516,3,2,2,3,24,1,0,0,0,0,433,2,13
770,Kasper Dolberg,dk,FW,,Sevilla,La Liga,24,1997,2.2,28,24,3,0,0,0,0,0,0,0,0,0,19,1,0
771,Kasper Dolberg,dk,FW,MF,Hoffenheim,Bundesliga,24,1997,4.5,79,73,4,0,0,0,1,2,0,0,0,0,55,2,1
772,Carlos Dominguez,es,DF,,Celta Vigo,La Liga,21,2001,1.2,34,34,0,0,0,0,0,0,0,0,0,0,28,0,1
773,Nicolás Domínguez,ar,MF,,Bologna,Serie A,24,1998,25.6,1420,1335,73,43,19,14,19,26,0,0,0,0,1169,12,25
774,John Donald,es,MF,DF,Elche,La Liga,21,2000,12.1,427,419,5,4,0,2,0,1,0,0,0,0,356,3,7
775,Giulio Donati,it,DF,,Monza,Serie A,32,1990,4.7,321,285,34,9,0,4,9,24,1,0,0,0,273,2,4
776,Kyliane Dong,fr,MF,FW,Troyes,Ligue 1,17,2004,2.4,53,51,2,0,1,1,6,0,2,1,0,0,35,0,5
777,Jordan Dongmo,cm,MF,,Troyes,Ligue 1,21,2001,0.2,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0
778,Gianluigi Donnarumma,it,GK,,Paris S-G,Ligue 1,23,1999,37.9,935,681,254,47,0,1,0,0,0,0,0,0,811,0,1
779,Niklas Dorsch,de,MF,,Augsburg,Bundesliga,24,1998,5.4,183,172,11,11,1,0,1,0,0,0,0,0,140,0,2
780,Jodel Dossou,bj,MF,DF,Clermont Foot,Ligue 1,30,1992,2.9,59,55,4,0,0,0,10,4,0,0,0,0,39,0,2
781,Lohann Doucet,fr,MF,FW,Nantes,Ligue 1,19,2002,1.0,79,76,3,2,0,2,0,1,0,0,0,0,67,0,1
782,Abdoulaye Doucouré,ml,MF,,Everton,Premier League,29,1993,17.0,548,530,16,0,1,0,8,0,0,0,0,0,430,2,14
783,Cheick Doucouré,ml,MF,,Crystal Palace,Premier League,22,2000,30.8,1247,1229,16,16,3,2,6,0,0,0,0,0,1038,2,30
784,Siriné Doucouré,ml,FW,MF,Lorient,Ligue 1,20,2002,1.5,46,44,1,0,1,0,0,0,1,0,0,0,29,1,3
785,Désiré Doué,fr,MF,FW,Rennes,Ligue 1,17,2005,12.4,453,437,15,1,3,1,30,1,12,6,3,0,351,1,4
786,Guela Doué,ci,FW,MF,Rennes,Ligue 1,19,2002,0.1,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0
787,Ismaël Doukouré,fr,DF,MF,Strasbourg,Ligue 1,19,2003,25.5,1106,1010,95,44,3,13,11,50,0,0,0,0,910,1,16
788,Kamory Doumbia,ml,MF,,Reims,Ligue 1,19,2003,12.8,538,523,9,3,5,1,9,4,1,0,0,0,428,6,14
789,Souleyman Doumbia,ci,DF,FW,Angers,Ligue 1,25,1996,19.9,952,779,173,16,0,0,48,154,3,3,0,0,762,0,26
790,Flynn Downes,eng,MF,,West Ham,Premier League,23,1999,8.5,331,323,7,2,0,2,3,0,0,0,0,0,289,1,6
791,Kami Doyle,eng,MF,,Southampton,Premier League,16,2005,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
792,Bartłomiej Drągowski,pl,GK,,Spezia,Serie A,24,1997,32.7,1173,889,282,86,0,3,0,0,0,0,0,0,808,2,1
793,Cody Drameh,eng,DF,,Leeds United,Premier League,20,2001,0.8,38,31,7,1,0,0,1,6,0,0,0,0,30,0,1
