Rk,Player,Nation,Pos1,Pos2,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1679,Aarón Martín,es,DF,,Mainz 05,Bundesliga,25,1997,20.5,1028,730,293,39,0,4,145,195,59,42,16,0,761,5,29
1680,Ander Martin,es,MF,FW,Real Sociedad,La Liga,21,2000,0.5,24,22,2,1,0,0,4,0,1,1,0,0,12,0,0
1681,Andrés Martín,es,FW,MF,Rayo Vallecano,La Liga,23,1999,2.3,77,69,5,0,0,2,11,2,3,3,0,0,39,3,4
1682,Carlos Martín,es,FW,MF,Atlético Madrid,La Liga,20,2002,0.3,11,11,0,0,0,0,2,0,0,0,0,0,6,0,0
1683,Iván Martín,es,MF,,Girona,La Liga,23,1999,17.6,672,648,23,8,0,2,18,7,0,0,0,0,565,1,18
1684,Jonas Martin,fr,MF,,Lille,Ligue 1,32,1990,3.1,229,219,10,7,0,2,3,2,1,1,0,0,193,0,1
1685,Gabriel Martinelli,br,FW,,Arsenal,Premier League,21,2001,31.0,1107,1013,88,12,8,2,113,11,63,40,0,0,833,6,44
1686,Arnau Martinez,es,DF,,Girona,La Liga,19,2003,30.4,1599,1270,319,48,3,7,60,271,0,0,0,0,1303,10,33
1687,Emiliano Martínez,ar,GK,,Aston Villa,Premier League,29,1992,34.9,1388,1043,340,128,1,5,0,0,0,0,0,0,1026,5,1
1688,Iñigo Martínez,es,DF,,Athletic Club,La Liga,31,1991,14.9,773,725,46,35,0,26,5,2,0,0,0,0,627,2,7
1689,Lautaro Martínez,ar,FW,,Inter,Serie A,24,1997,28.6,681,632,46,1,6,6,14,5,0,0,0,0,503,3,24
1690,Lisandro Martínez,ar,DF,,Manchester Utd,Premier League,24,1998,23.5,1528,1401,122,34,7,16,0,5,0,0,0,0,1330,5,7
1691,Lucas Martínez Quarta,ar,DF,,Fiorentina,Serie A,26,1996,24.1,1524,1460,61,54,0,38,4,7,0,0,0,0,1245,3,12
1692,Roger Martínez,es,DF,,Espanyol,La Liga,18,2004,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
1693,Gelson Martins,pt,MF,FW,Monaco,Ligue 1,27,1995,3.8,155,154,1,0,0,0,5,1,0,0,0,0,121,0,6
1694,Adam Marušić,me,DF,,Lazio,Serie A,29,1992,30.7,1829,1573,253,28,0,8,17,225,0,0,0,0,1564,3,18
1695,Omar Mascarell,gq,MF,DF,Elche,La Liga,29,1993,27.2,1270,1183,83,56,0,20,22,4,19,1,9,3,1091,4,11
1696,Adam Masina,ma,DF,,Udinese,Serie A,28,1994,8.8,428,386,40,13,1,6,10,27,0,0,0,0,332,2,3
1697,Jordi Masip,es,GK,,Valladolid,La Liga,33,1989,27.9,963,645,316,77,0,1,0,0,0,0,0,0,679,2,1
1698,Erhan Mašović,rs,DF,MF,Bochum,Bundesliga,23,1998,24.2,821,798,21,15,0,1,2,1,0,0,0,0,662,2,10
1699,Han-Noah Massengo,fr,MF,,Auxerre,Ligue 1,21,2001,12.4,453,435,12,8,5,3,2,1,0,0,0,0,385,6,9
1700,Yanis Massolin,fr,MF,,Clermont Foot,Ligue 1,19,2002,0.7,39,39,0,0,0,0,0,0,0,0,0,0,30,0,0
1701,Jaime Mata,es,FW,MF,Getafe,La Liga,33,1988,4.9,122,119,2,0,0,0,9,1,0,0,0,0,68,1,7
1702,Pape Matar Sarr,sn,MF,FW,Tottenham,Premier League,19,2002,2.4,154,150,4,2,0,1,0,0,0,0,0,0,141,0,0
1703,Eliot Matazo,be,MF,,Monaco,Ligue 1,20,2002,13.1,493,483,7,6,0,7,2,0,0,0,0,0,399,3,8
1704,Jean-Philippe Mateta,fr,FW,,Crystal Palace,Premier League,25,1997,8.6,149,143,6,0,0,0,3,0,0,0,0,0,104,0,9
1705,Nemanja Matić,rs,MF,,Roma,Serie A,33,1988,20.6,1295,1229,59,56,2,16,12,2,1,0,0,0,1109,7,19
1706,Joël Matip,cm,DF,,Liverpool,Premier League,30,1991,12.1,885,873,11,7,0,5,1,4,0,0,0,0,766,1,5
1707,Henning Matriciani,de,DF,,Schalke 04,Bundesliga,22,2000,20.7,883,702,180,21,0,1,20,156,0,0,0,0,638,1,26
1708,Chrislain Matsima,fr,DF,MF,Lorient,Ligue 1,20,2002,2.5,127,120,7,7,0,0,0,0,0,0,0,0,108,0,3
1709,Chrislain Matsima,fr,DF,,Monaco,Ligue 1,20,2002,5.0,230,208,20,5,0,0,2,15,0,0,0,0,194,2,0
